,names,frequency,edges_out_count,ISS
HP:0100543,"['cognitive impairment', 'Abnormality of cognition', 'Cognitive abnormality', 'Cognitive defects', 'Cognitive deficits', 'Cognitive impairment', 'Intellectual impairment', 'Mental impairment']",Frequent,515,0.6609789738588476
HP:0000729,"['autistic behavior', 'ASD', 'Autistic behaviour', 'Pervasive developmental disorder']",Frequent,522,0.6565321642986127
HP:0001336,"['myoclonus', 'Myoclonic jerks']",Frequent,522,0.6565321642986127
HP:0002063,"['rigidity', 'Muscle rigidity', 'Rigidity']",Frequent,657,0.5852057359806528
HP:0031475,"['status epilepticus without prominent motor symptoms', 'Nonconvulsive status epilepticus']",Occasional,8,3.5355339059327373
HP:0200048,['cyanotic episode'],Occasional,9,3.3333333333333335
HP:0025101,"['dysgenesis of the hippocampus', 'Hippocampal dysgenesis']",Occasional,14,2.6726124191242437
HP:0100694,['tibial torsion'],Occasional,21,2.182178902359924
HP:0003066,"['limited knee extension', 'Limited knee extension']",Occasional,25,2.0
HP:0011185,"['eeg with focal epileptiform discharges', 'Focal EEG Abnormality']",Occasional,43,1.5249857033260468
HP:0011198,"['eeg with generalized epileptiform discharges', 'EEG with generalised epileptiform discharges']",Occasional,50,1.414213562373095
HP:0008081,"['pes valgus', 'Valgus foot deformity']",Occasional,63,1.259881576697424
HP:0007010,"['poor fine motor coordination', 'Fine motor disability', 'Fine motor impairment', 'Fine motor skill dysfunction', 'Impaired fine motor skills']",Occasional,70,1.1952286093343936
HP:0002283,"['global brain atrophy', 'Diffuse brain atrophy', 'Generalized brain atrophy', 'Generalized brain degeneration', 'Generalized cerebral atrophy']",Occasional,103,0.9853292781642932
HP:0002311,"['incoordination', 'Difficulties in coordination', 'Incoordination', 'Incoordination of limb movements', 'Limb incoordination']",Occasional,120,0.9128709291752769
HP:0000736,"['short attention span', 'Poor attention span', 'Problem paying attention', 'Short attention span']",Occasional,158,0.79555728417573
HP:0100710,"['impulsivity', 'Impulsive', 'Impulsivity']",Occasional,180,0.7453559924999299
HP:0000980,['pallor'],Occasional,220,0.674199862463242
HP:0008947,"['infantile muscular hypotonia', 'Decreased muscle tone in infant', 'Hypotonia early', 'Hypotonia in infancy', 'Hypotonia, early', 'Infantile hypotonia']",Occasional,272,0.6063390625908325
HP:0002307,"['drooling', 'Dribbling', 'Drooling', 'Sialorrhea']",Occasional,312,0.5661385170722978
HP:0002345,['action tremor'],Occasional,366,0.5227083734893166
HP:0001763,"['pes planus', 'Flat feet', 'Flat foot']",Occasional,587,0.412744171706498
