,gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
57,SOD1,0,11,"['anemia', 'anemia', 'nephrotic syndrome', 'congestive heart failure']",4,2732,1.2084032477756947,0.004950545265027103
58,CYP2C9,0,10,"['constipation', 'congestive heart failure']",2,1883,1.1172568719785212,0.00494776813464475
59,ADA,0,9,"['failure to thrive', 'failure to thrive', 'congestive heart failure']",3,2027,1.2571596809890917,0.004921929897618994
60,LOX,0,13,"['cerebral vascular events', 'dilated cardiomyopathy']",2,2372,0.9363343219490879,0.004642956481317482
61,CCR2,0,9,['interstitial lung disease'],1,2259,1.2309149097933272,0.00455038782447057
62,MAPK1,0,23,"['dilated cardiomyopathy', 'congestive heart failure', 'nephrotic syndrome']",3,11681,1.1002238824508368,0.004487355128534155
63,RPSA,0,8,"['nephrotic syndrome', 'nephrotic syndrome', 'congestive heart failure']",3,2820,1.274365937903731,0.00376763632007619
64,FOS,0,11,"['abnormal feet structure', 'failure to thrive']",2,6908,1.348008823554606,0.003529504360527717
65,PTHLH,0,9,"['congestive heart failure', 'nephrotic syndrome']",2,2110,0.8800044345411815,0.003159449645729886
66,MMP2,0,21,"['dilated cardiomyopathy', 'congestive heart failure']",2,7219,0.7058623790882873,0.0030159583119403898
67,CA2,0,13,"['failure to thrive', 'dilated cardiomyopathy', 'dilated cardiomyopathy', 'anemia', 'congestive heart failure']",5,16711,1.4760396085204288,0.0029719293455133878
68,CDKN1A,0,9,['interstitial lung disease'],1,7189,1.2309149097933272,0.002550775789862271
69,SST,0,9,"['anemia', 'constipation']",2,3486,0.7958133474171457,0.0021689320026192227
70,AHSA1,0,13,"['dilated cardiomyopathy', 'nephrotic syndrome']",2,4014,0.6145809512722047,0.002081855901850526
71,SIRT1,0,9,"['dilated cardiomyopathy', 'congestive heart failure']",2,3382,0.7058623790882873,0.001888427291377364
72,GRAP2,0,10,"['dilated cardiomyopathy', 'nephrotic syndrome']",2,3225,0.6145809512722047,0.0017866156680158328
73,POLDIP2,0,9,"['dilated cardiomyopathy', 'nephrotic syndrome']",2,2996,0.6145809512722047,0.0016682748501421346
74,CYP3A4,0,9,['constipation'],1,3373,0.6316139407998892,0.0016317437696348955
75,GPI,0,8,"['anemia', 'congestive heart failure']",2,2966,0.6498423377958886,0.0016070777823088687
76,CRK,0,13,"['dilated cardiomyopathy', 'nephrotic syndrome']",2,6751,0.6145809512722047,0.0016052966377740818
77,OXER1,0,8,['congestive heart failure'],1,1406,0.4856429311786321,0.0015449606402975742
78,KDR,0,9,"['anemia', 'congestive heart failure']",2,4090,0.6498423377958886,0.0015396192725670164
79,MAPK8,0,16,['congestive heart failure'],1,7491,0.4856429311786321,0.0013386596628340555
81,HPSE,0,8,['nephrotic syndrome'],1,1584,0.3943615033625495,0.0010422253093259931
82,BCR,0,8,"['dilated cardiomyopathy', 'anemia']",2,2704,0.3844188545269118,0.0007632340278096964
83,TYMS,0,9,['anemia'],1,2948,0.16419940661725654,0.0
84,GABPA,0,11,['anemia'],1,4112,0.16419940661725654,0.0
85,EGF,0,10,['anemia'],1,3542,0.16419940661725654,0.0
