disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
2,1,15,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CONGENITAL DEAFNESS', 'CONGENITAL DEAFNESS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ATAXIA', 'PAPILLOMA']",9,6,5,459
2,0,275,637,"['DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'CUTANEOUS PHOTOSENSITIVITY', 'CONJUNCTIVAL TELANGIECTASES', 'ABNORMALLY SMALL CRANIUM', 'TELANGIECTASIA OF THE SKIN', 'ATAXIA', 'CONGENITAL DEAFNESS', 'CUTANEOUS TELANGIECTASIA', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'FEVER', 'PAPILLOMA', 'PAPILLOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PTERYGIUM', 'ATAXIA']",18,14,7,2169
2,0,21,0,"['OPTIC ATROPHY', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'ATAXIA', 'CONGENITAL DEAFNESS', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'TELANGIECTASIA', 'MALIGNANT MELANOMA']",9,6,2,1991
2,1,64,0,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'HYPERKERATOSIS', 'HYPERKERATOSIS', 'DECREASED BODY HEIGHT', 'DECREASED BODY HEIGHT', 'BEAUTY MARK', 'EPILEPSY', 'ABNORMAL TISSUE MASS', 'ABNORMAL EEG', 'HEARING LOSS, SENSORINEURAL', 'CANCER OF SKIN PIGMENT CELLS', 'DELAYED BONE AGE', 'CROSS-EYED', 'DIFFUSELY THICKENED SKIN', 'ALOPECIA', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'HYPOPIGMENTED SKIN PATCHES', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA']",29,17,26,1533
2,1,58,0,"['ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'HEARING LOSS, SENSORINEURAL', 'CORNEAL INFLAMMATION', 'CORNEAL INFLAMMATION', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'EXTREME SENSITIVITY OF THE EYES TO LIGHT', 'ENTROPION', 'ENTROPION', 'ECTROPION', 'ECTROPION', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS TELANGIECTASIA', 'CUTANEOUS TELANGIECTASIA', 'CUTANEOUS TELANGIECTASIA', 'POIKILODERMA', 'POIKILODERMA', 'ATAXIA', 'ATAXIA', 'ATAXIA', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'FRECKLING', 'FRECKLING', 'FRECKLING', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'ATROPHIC SKIN', 'CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'CROSS-EYED', 'CROSS-EYED', 'CATARACT', 'CATARACT', 'CATARACT', 'OPTIC ATROPHY', 'OPTIC ATROPHY', 'DRY SKIN', 'DRY SKIN', 'DRY SKIN', 'EPILEPSY', 'EPILEPSY', 'EPILEPSY', 'CLOUDY CORNEA', 'CLOUDY CORNEA', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ABNORMAL TISSUE MASS', 'ABNORMAL TISSUE MASS', 'DECREASED ACTIVITY OF GONADS', 'DECREASED BODY HEIGHT', 'NEUROPATHY', 'CANCER OF SKIN PIGMENT CELLS', 'CEREBRAL CORTEX ATROPHY', 'ABSENT OR DECREASED DEEP TENDON REFLEXES', 'CATARACT', 'CATARACT', 'HEARING IMPAIRMENT', 'TELANGIECTASIA', 'ATAXIA', 'NEUROPATHY']",68,30,65,876
2,0,46,0,"['EPILEPSY', 'BLEPHARITIS', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'NEUROPATHY', 'FEVER', 'ATAXIA', 'ATAXIA', 'PAPILLOMA']",13,8,14,5882
2,2,131,173,"['CRYPTORCHIDISM', 'CRYPTORCHIDISM', 'ABNORMALLY SMALL CRANIUM', 'ABNORMALLY SMALL CRANIUM', 'CUTANEOUS PHOTOSENSITIVITY', 'CUTANEOUS PHOTOSENSITIVITY', 'DECREASED BODY HEIGHT', 'DELAYED BONE AGE', 'ABNORMAL TISSUE MASS', 'ERYTHEMA', 'TELANGIECTASIA OF THE SKIN', 'FAILURE TO THRIVE', 'HYPOPIGMENTED SKIN PATCHES', 'ATAXIA', 'ATAXIA', 'ECTROPION', 'MALIGNANT MELANOMA', 'TELANGIECTASIA', 'ALOPECIA']",19,15,321,1570
2,1,35,0,"['DEPRESSED NASAL ALAE', 'DEPRESSED NASAL ALAE', 'CROSS-EYED', 'CROSS-EYED', 'CATARACT', 'CATARACT', 'EPILEPSY', 'DECREASED BODY HEIGHT', 'ABNORMAL TISSUE MASS', 'ABNORMALLY SMALL CRANIUM', 'CRYPTORCHIDISM', 'BEAUTY MARK', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'CATARACT', 'ATAXIA', 'ALOPECIA']",18,12,13,1566
2,1,65,0,"['NEUROPATHY', 'DELAYED BONE AGE', 'DIFFUSELY THICKENED SKIN', 'FAILURE TO THRIVE', 'PAPILLOMA', 'PAPILLOMA', 'HYPERKERATOSIS', 'HYPERKERATOSIS', 'MALIGNANT MELANOMA', 'NEUROPATHY', 'PHOTOPHOBIA', 'ATAXIA', 'TELANGIECTASIA', 'PTERYGIUM']",14,11,7,7066
2,1,471,1539,"['ABNORMAL TISSUE MASS', 'CANCER OF SKIN PIGMENT CELLS', 'FEVER', 'EPILEPSY', 'DECREASED BODY HEIGHT', 'DELAYED BONE AGE', 'PAPILLOMA', 'FATIGUE', 'ABNORMALLY SMALL CRANIUM', 'DECREASED ACTIVITY OF GONADS', 'ABNORMALITY OF COGNITION', 'INVOLUNTARY MUSCLE STIFFNESS, CONTRACTION, OR SPASM', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'MALIGNANT MELANOMA', 'PAPILLOMA', 'PAPILLOMA', 'PAPILLOMA', 'ERYTHEMA', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'ALOPECIA', 'TELANGIECTASIA', 'PTERYGIUM', 'PTERYGIUM', 'CATARACT', 'FEVER', 'ATAXIA']",36,19,545,14024
