gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
ERCC1,2,360,"['cutaneous photosensitivity', 'optic atrophy', 'cataract', 'cryptorchidism', 'failure to thrive', 'dry skin', 'ataxia', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'peripheral neuropathy', 'peripheral neuropathy']",15,908,12.858277735433255,0.15565277683888126
TERT,1,320,"['blepharitis', 'failure to thrive', 'telangiectasia of the skin', 'alopecia', 'ataxia', 'hypopigmented skin patches', 'hypermelanotic macule', 'cataract', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'papilloma', 'papilloma']",23,2314,24.136886522465463,0.12477425225712836
EGFR,2,633,"['papilloma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'alopecia', 'alopecia', 'alopecia', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'pterygium', 'hyperkeratosis']",26,8857,20.769553204534272,0.10969834684852404
MC1R,1,91,"['freckling', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'erythema']",13,602,18.134127881614894,0.10284488459709032
ATM,1,613,"['ataxia', 'ataxia', 'failure to thrive', 'telangiectasia of the skin', 'fever', 'fatigue', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'peripheral neuropathy', 'papilloma']",16,3536,15.351487704247097,0.09969895513336906
CDKN2A,1,548,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'fatigue', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract']",18,4724,18.651408093046552,0.09669055070355599
HRAS,1,285,"['failure to thrive', 'failure to thrive', 'cryptorchidism', 'papilloma', 'hyperkeratosis', 'alopecia', 'hypopigmented skin patches', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'alopecia']",21,2134,18.67162458878521,0.09351593540474036
BLM,2,330,"['cryptorchidism', 'cryptorchidism', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'erythema', 'failure to thrive', 'telangiectasia of the skin', 'hypopigmented skin patches', 'ataxia', 'hypogonadism']",10,1339,9.518826005544263,0.09063756563909524
TP63,0,391,"['cryptorchidism', 'cryptorchidism', 'blepharitis', 'blepharitis', 'blepharitis', 'hyperkeratosis', 'hyperkeratosis', 'thin skin', 'thin skin', 'thin skin', 'dry skin', 'dry skin', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'freckling', 'freckling', 'alopecia', 'entropion', 'papilloma', 'papilloma', 'melanoma', 'melanoma', 'melanoma', 'pterygium', 'melanocytic nevus']",25,2929,26.73082284659272,0.09019819550096435
NRAS,1,175,"['cryptorchidism', 'cryptorchidism', 'hyperkeratosis', 'hyperkeratosis', 'alopecia', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma']",17,1345,18.33630057943024,0.0895298779066569
PTEN,1,529,"['cataract', 'cataract', 'failure to thrive', 'ataxia', 'papilloma', 'hyperkeratosis', 'ataxia', 'ataxia', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'cataract', 'hyperkeratosis', 'peripheral neuropathy']",23,5675,18.980147575094858,0.08751668010414126
AKT1,1,785,"['cataract', 'papilloma', 'hyperkeratosis', 'failure to thrive', 'ataxia', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'alopecia', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'fever', 'peripheral neuropathy', 'peripheral neuropathy', 'hypogonadism']",26,16329,22.67200853743479,0.08337222003547733
BRAF,0,402,"['hyperkeratosis', 'hyperkeratosis', 'hyperkeratosis', 'failure to thrive', 'failure to thrive', 'cryptorchidism', 'optic atrophy', 'dry skin', 'freckling', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fatigue']",22,3756,25.043282386620024,0.07672301393764062
RECQL4,1,165,"['cryptorchidism', 'cryptorchidism', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'poikiloderma', 'poikiloderma', 'alopecia', 'alopecia', 'optic atrophy', 'optic atrophy', 'cataract', 'cataract']",12,710,11.757413878107785,0.07638929398083869
KIT,0,398,"['fatigue', 'hypermelanotic macule', 'cryptorchidism', 'erythema', 'telangiectasia of the skin', 'ataxia', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'alopecia', 'alopecia', 'peripheral neuropathy', 'papilloma']",26,4700,28.085029275146645,0.076210102925484
CCND1,1,488,"['fever', 'fatigue', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'fatigue', 'pterygium', 'pterygium', 'peripheral neuropathy', 'alopecia']",19,4986,16.212519139869205,0.07512783073579916
IFNA1,1,522,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fatigue', 'fatigue', 'fatigue', 'fever', 'fever', 'fever', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'erythema', 'arthralgia', 'alopecia', 'papilloma']",24,7482,18.805069408990576,0.07478483592290287
CDKN1A,2,601,"['fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'papilloma', 'alopecia', 'ataxia', 'pterygium', 'hyperkeratosis']",15,7189,12.715245509810265,0.07176516754205259
BRCA2,1,367,"['failure to thrive', 'failure to thrive', 'cryptorchidism', 'hypopigmented skin patches', 'cataract', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fever']",11,1680,10.87442347521853,0.071099673894858
ERCC8,1,269,"['cryptorchidism', 'cryptorchidism', 'cataract', 'cataract', 'optic atrophy', 'optic atrophy', 'dry skin', 'dry skin', 'cutaneous photosensitivity', 'cutaneous photosensitivity', 'ataxia', 'ataxia', 'failure to thrive', 'freckling', 'keratitis', 'keratitis', 'cataract', 'peripheral neuropathy']",18,2033,13.949522544906097,0.06894590467433112
TNF,0,775,"['alopecia', 'alopecia', 'fever', 'fever', 'fever', 'fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'erythema', 'erythema', 'macule', 'fatigue', 'fatigue', 'fatigue', 'cataract', 'keratitis', 'keratitis', 'pterygium', 'papilloma', 'hypogonadism']",34,19388,25.017474695846772,0.06567034380302662
PCNA,1,508,"['cutaneous photosensitivity', 'telangiectasia of the skin', 'ataxia', 'fever', 'papilloma', 'papilloma', 'melanoma', 'melanoma', 'pterygium']",9,2027,8.809742808298603,0.06511324623671096
TYR,1,87,"['freckling', 'hyperkeratosis', 'cutaneous photosensitivity', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy']",11,1182,14.131185414184548,0.05621536134209283
CDK4,1,334,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma']",8,2388,10.422350375875702,0.053792753823957824
ATRX,1,183,"['cryptorchidism', 'cryptorchidism', 'cryptorchidism', 'optic atrophy', 'optic atrophy', 'intellectual disability, progressive', 'intellectual disability, progressive', 'decreased testicular size', 'decreased testicular size', 'failure to thrive', 'fatigue', 'melanoma', 'hypogonadism']",13,1192,10.183787135545488,0.05340976120524255
VEGFA,0,627,"['fatigue', 'fatigue', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'pterygium', 'pterygium', 'pterygium', 'erythema', 'erythema', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'cataract', 'papilloma', 'papilloma', 'macule', 'alopecia', 'alopecia', 'keratitis', 'keratitis']",28,11159,18.92425753579596,0.05269124574582912
WRN,1,311,"['hyperkeratosis', 'telangiectasia of the skin', 'cataract', 'melanoma', 'papilloma', 'short stature', 'cataract', 'alopecia', 'hypogonadism']",9,881,6.5053389534836,0.05221239361207572
PTCH1,2,202,"['cataract', 'cataract', 'cryptorchidism', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'alopecia', 'papilloma']",9,1372,6.743110948238612,0.05197174599908096
MYC,2,470,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'peripheral neuropathy']",7,3343,7.199472958357874,0.05117456604201074
LIG4,1,111,"['failure to thrive', 'failure to thrive', 'cryptorchidism', 'cutaneous photosensitivity', 'erythema', 'telangiectasia of the skin', 'dry skin', 'fever', 'alopecia', 'cataract']",10,607,8.398761235764326,0.0499447045020668
CDK2,1,438,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma']",7,3168,9.03559988531263,0.04818367506105925
STAT3,0,473,"['erythema', 'failure to thrive', 'fever', 'ataxia', 'keratitis', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'fever', 'fever', 'papilloma', 'papilloma', 'peripheral neuropathy', 'alopecia']",19,6528,17.091741812703003,0.04668066561798275
IL2,0,435,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'keratitis', 'keratitis', 'keratitis', 'fatigue', 'fever', 'peripheral neuropathy', 'alopecia', 'blepharitis']",17,5694,17.17030892247665,0.04611171471551832
PHGDH,1,127,"['cryptorchidism', 'cryptorchidism', 'cataract', 'cataract', 'decreased testicular size', 'decreased testicular size', 'failure to thrive', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy']",13,1353,10.940418904089846,0.04609346491251003
MDM2,1,445,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'pterygium', 'papilloma']",8,4163,9.553380258391128,0.04498906045661097
MAPK8,2,527,"['melanoma', 'melanoma', 'melanoma', 'fever', 'fever', 'keratitis', 'keratitis', 'cataract', 'cataract', 'peripheral neuropathy', 'peripheral neuropathy', 'papilloma']",12,7491,8.361648343481095,0.04245798787643624
FAS,1,501,"['blepharitis', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'keratitis', 'cataract', 'peripheral neuropathy', 'fever']",10,5678,9.550606474405242,0.041844112468399114
PIK3CA,0,447,"['failure to thrive', 'telangiectasia of the skin', 'optic atrophy', 'hypermelanotic macule', 'cataract', 'papilloma', 'fever', 'fatigue', 'ataxia', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'peripheral neuropathy']",18,7493,16.828865053702668,0.04049392943931287
MSH2,1,288,"['developmental regression', 'fatigue', 'hypermelanotic macule', 'melanoma', 'melanoma']",5,985,5.483979082714563,0.03949817852228608
CD4,0,433,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'keratitis', 'keratitis', 'keratitis', 'alopecia', 'alopecia', 'fatigue', 'papilloma', 'papilloma', 'papilloma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'hypogonadism']",20,7918,16.608604918471176,0.03763012648552271
BRCA1,1,655,"['cryptorchidism', 'failure to thrive', 'hypopigmented skin patches', 'cataract', 'papilloma', 'melanoma', 'peripheral neuropathy']",7,2878,5.100062273808668,0.037465450016709784
BAX,1,527,"['fever', 'fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma']",7,4955,7.720185539852366,0.037335217794018896
MLH1,1,301,"['developmental regression', 'fatigue', 'hypermelanotic macule', 'melanoma', 'melanoma']",5,1173,5.483979082714563,0.03715506989341068
MMP9,0,490,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'blepharitis', 'blepharitis', 'pterygium', 'pterygium', 'fatigue', 'fever', 'keratitis', 'papilloma']",18,7920,14.486565040623004,0.037145602091522116
FASN,1,325,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'hyperkeratosis']",7,3549,8.915291632667044,0.036974378163250575
MGMT,0,342,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma']",7,1285,8.363946336683753,0.03647381703805753
ALB,1,302,"['fatigue', 'fever', 'fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'hypogonadism', 'keratitis', 'peripheral neuropathy']",11,4260,9.12247212444954,0.03304441879381406
NBN,1,242,"['cutaneous photosensitivity', 'freckling', 'melanoma']",3,965,4.993616669280312,0.03278932649936234
RRM2B,1,115,"['developmental regression', 'failure to thrive', 'ataxia', 'fatigue', 'cataract', 'abnormality of extrapyramidal motor function', 'melanoma', 'peripheral neuropathy']",8,524,5.074640411216603,0.0323087224978499
MTOR,0,455,"['cryptorchidism', 'hypopigmented skin patches', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'papilloma', 'alopecia']",12,6872,12.64017530871682,0.03219488669506362
MMP2,0,468,"['arthralgia', 'hypermelanotic macule', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'pterygium', 'cataract', 'peripheral neuropathy', 'peripheral neuropathy']",13,7219,12.36592492676757,0.031611225469484146
SMUG1,1,110,"['melanoma', 'melanoma', 'melanoma', 'melanoma']",4,644,5.547001962252291,0.03147615602714844
EP300,1,237,"['melanoma', 'melanoma', 'melanoma', 'melanoma']",4,1284,5.547001962252291,0.03136548717513331
CHEK2,1,385,"['fever', 'melanoma', 'melanoma', 'melanoma']",4,1631,4.553468015207719,0.030268528279079096
PARP1,1,214,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'alopecia', 'peripheral neuropathy', 'peripheral neuropathy']",9,2804,8.01459144026553,0.029433617855825243
PALB2,1,165,"['cryptorchidism', 'failure to thrive', 'hypopigmented skin patches', 'cataract', 'melanoma']",5,586,4.162688219637279,0.028723122405737902
MAPK1,0,655,"['alopecia', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'cataract', 'peripheral neuropathy', 'papilloma']",10,11681,9.903034919185425,0.02786419379329872
FOS,1,454,"['failure to thrive', 'papilloma', 'papilloma', 'papilloma', 'hyperkeratosis', 'hyperkeratosis', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'photophobia', 'hypogonadism', 'pterygium']",12,6908,7.388938312896571,0.027196774918472014
BCL2,1,447,"['melanoma', 'melanoma', 'melanoma', 'melanoma', 'alopecia']",5,4246,5.86514434374018,0.02702261614286381
TGFB1,0,575,"['failure to thrive', 'optic atrophy', 'ataxia', 'fever', 'cataract', 'short stature', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'papilloma', 'erythema']",15,8889,9.366715161070601,0.02644152419339347
CAT,1,567,"['fever', 'fever', 'cataract', 'cataract', 'cataract', 'cataract', 'papilloma', 'papilloma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'keratitis', 'strabismus', 'alopecia', 'blepharitis']",15,8451,6.730275455929097,0.026175355023122286
PMS2,1,134,"['developmental regression', 'fatigue', 'hypermelanotic macule', 'melanoma']",4,576,4.09722859215149,0.026083577847432027
XRCC5,1,196,"['melanoma', 'melanoma', 'cataract', 'cataract', 'fever']",5,698,3.820748604940067,0.026064313187018913
TCEAL1,0,481,"['fever', 'melanoma', 'melanoma', 'melanoma', 'melanoma', 'papilloma', 'papilloma', 'alopecia', 'pterygium', 'hyperkeratosis']",10,5905,8.801123833494175,0.025389430309989584
ENDOV,2,44,['melanoma'],1,108,1.3867504905630728,0.0245671845004339
ATR,1,409,"['cryptorchidism', 'cryptorchidism', 'failure to thrive', 'alopecia', 'melanoma']",5,1659,3.613556687229776,0.02445988831007714
PERP,1,62,"['erythema', 'alopecia', 'melanoma']",3,153,2.5981298733140825,0.02438094822379128
LEP,0,409,"['decreased testicular size', 'fever', 'fever', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'short stature', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'arthralgia', 'fatigue']",17,5731,9.70335343255893,0.024146804675539132
TNFRSF10B,1,268,"['melanoma', 'melanoma', 'melanoma', 'peripheral neuropathy', 'peripheral neuropathy', 'fever']",6,2138,4.998022239682107,0.023340384540522906
SMARCA2,1,48,"['cryptorchidism', 'cryptorchidism', 'cryptorchidism', 'failure to thrive', 'failure to thrive', 'alopecia', 'melanoma']",7,611,4.953646969724414,0.02300801545668693
ESR1,0,431,"['cataract', 'hypogonadism', 'hypogonadism', 'melanoma', 'melanoma', 'melanoma', 'alopecia', 'alopecia', 'arthralgia', 'fever', 'papilloma', 'peripheral neuropathy']",12,5309,8.261529821785322,0.02243998403211288
AR,0,449,"['cryptorchidism', 'arthralgia', 'arthralgia', 'hypogonadism', 'hypogonadism', 'hypogonadism', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'alopecia', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma']",16,6849,8.643662510991453,0.021576520363730915
APAF1,1,92,"['melanoma', 'melanoma', 'peripheral neuropathy']",3,336,2.995778093363339,0.021388428375019714
FANCA,1,85,"['cryptorchidism', 'cryptorchidism', 'hypopigmented skin patches', 'cataract', 'melanoma']",5,590,3.9597450025109975,0.021232748678777513
REXO2,1,67,"['melanoma', 'melanoma']",2,249,2.7735009811261455,0.020910963023142687
FASTK,1,214,"['fever', 'fever', 'melanoma', 'melanoma', 'erythema']",5,1654,4.453171069426268,0.020808011370962155
GAPDH,1,108,"['melanoma', 'melanoma', 'melanoma', 'papilloma', 'peripheral neuropathy', 'hypogonadism', 'alopecia']",7,1727,5.986498052883845,0.020674213745775508
INS,0,507,"['failure to thrive', 'ataxia', 'fever', 'fever', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'cataract', 'fatigue', 'keratitis', 'papilloma', 'hypogonadism', 'hypogonadism', 'alopecia', 'melanoma']",17,9554,8.220814278640939,0.019633211834170616
E2F1,0,350,"['melanoma', 'melanoma', 'melanoma', 'melanoma']",4,2308,5.547001962252291,0.018225448855868614
SLX4,1,126,"['cryptorchidism', 'cryptorchidism', 'hypopigmented skin patches', 'cataract']",4,424,2.572994511947925,0.0180038006500085
IL6,0,399,"['peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'peripheral neuropathy', 'melanoma', 'melanoma', 'melanoma', 'fatigue', 'fever', 'fever', 'hypogonadism', 'papilloma']",12,5945,7.601912201572612,0.017993206877035487
CDK1,1,456,"['fever', 'melanoma', 'melanoma', 'peripheral neuropathy']",4,3123,3.3889946368818396,0.01792759717006738
CUL4B,1,119,"['cryptorchidism', 'cryptorchidism', 'decreased testicular size', 'decreased testicular size', 'hypogonadism']",5,547,2.929571654466757,0.01786568757988536
HSPA1A,1,119,"['fatigue', 'fever', 'melanoma', 'melanoma', 'peripheral neuropathy']",5,997,3.8692867433099143,0.0178265467158519
CAMP,0,444,"['melanoma', 'melanoma', 'melanoma', 'alopecia', 'fever', 'fever', 'papilloma', 'keratitis', 'keratitis', 'cataract', 'ataxia', 'fatigue']",12,10392,8.770593426725396,0.017578846037671753
MSH6,1,212,"['developmental regression', 'fatigue', 'hypermelanotic macule']",3,797,2.710478101588417,0.017544035481915455
POLQ,2,77,['melanoma'],1,259,1.3867504905630728,0.017012236031255387
RAD51C,1,149,"['cryptorchidism', 'cryptorchidism', 'hypopigmented skin patches', 'cataract']",4,548,2.572994511947925,0.016946894167042155
