,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out
DCTN4,5,2,218,1738,"['DISTAL INTESTINAL OBSTRUCTION SYNDROME', 'DECREASED ANTIBODY LEVEL IN BLOOD', 'DECREASED IMMUNE FUNCTION', 'BILIARY CIRRHOSIS', 'PULMONARY FIBROSIS', 'FREQUENT RESPIRATORY INFECTIONS', 'ELEVATED URINE CALCIUM LEVELS', 'BRONCHIECTASIS', 'ASTHMA', 'RECTAL PROLAPSE', 'INTESTINAL MALABSORPTION', 'EXOCRINE PANCREATIC INSUFFICIENCY', 'MALE INFERTILITY', 'DEHYDRATION', 'COR PULMONALE', 'FAILURE TO THRIVE', 'RECURRENT BRONCHOPULMONARY INFECTIONS', 'MULTIPLE PULMONARY INFECTIONS', 'CHRONIC LUNG DISEASE', 'ELEVATED SWEAT CHLORIDE', 'ENLARGED LIVER', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",23,21,4,1173
MUC5B,5,4,288,788,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",6,2,4,613
ERVK-10,5,5,815,3694,['ASTHMA'],1,1,4,3242
IL1B,4,1,1451,3090,"['BILIARY CIRRHOSIS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",8,2,3,1872
CA2,4,9,2658,12630,"['AUTOSOMAL RECESSIVE', 'FAILURE TO THRIVE', 'ENLARGED LIVER', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'DEHYDRATION', 'DEHYDRATION', 'HYPERCALCIURIA']",10,6,22,16631
CXCR1,4,3,241,604,"['ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'CHRONIC LUNG DISEASE']",5,3,4,878
CXCL8,4,1,1453,3603,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS']",7,2,0,2963
LEP,4,9,1674,6227,"['MULTIPLE PULMONARY INFECTIONS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'CHRONIC LUNG DISEASE']",11,4,40,5731
ANO1,4,3,238,874,"['ASTHMA', 'ASTHMA']",2,1,1,464
SCNN1A,4,5,203,803,"['BRONCHIECTASIS', 'FREQUENT RESPIRATORY INFECTIONS', 'DEHYDRATION', 'FAILURE TO THRIVE', 'ELEVATED SWEAT CHLORIDE', 'BRONCHIECTASIS']",6,5,0,327
SLC26A9,4,5,52,364,"['BRONCHIECTASIS', 'ASTHMA']",2,2,0,111
TLR4,4,3,1744,4460,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",11,3,19,4493
INS,4,12,2905,7933,"['EXOCRINE PANCREATIC INSUFFICIENCY', 'DEHYDRATION', 'FAILURE TO THRIVE', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'CHRONIC LUNG DISEASE', 'DEHYDRATION', 'BRONCHIECTASIS']",11,6,4,9554
TLR5,4,3,395,1419,"['ASTHMA', 'ASTHMA']",2,1,0,678
FAS,4,4,1887,5531,"['ENLARGED LIVER', 'PULMONARY FIBROSIS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'HYPOGAMMAGLOBULINEMIA']",7,5,13,5673
CCL2,3,2,1569,3114,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",11,3,9,3794
CAT,3,2,3816,8068,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'DEHYDRATION', 'MALABSORPTION']",9,3,4,8461
SLC9A3R1,3,1,189,742,['ASTHMA'],1,1,1,576
BPI,3,0,223,519,['BRONCHIECTASIS'],1,1,0,351
IFNA1,3,1,1857,5337,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS']",8,2,29,7570
PTH,3,5,1694,6066,"['HYPERCALCIURIA', 'HYPERCALCIURIA', 'HYPERCALCIURIA', 'HYPERCALCIURIA', 'HYPERCALCIURIA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'MALABSORPTION', 'MALABSORPTION']",12,4,17,4588
SPINK1,3,1,147,411,['EXOCRINE PANCREATIC INSUFFICIENCY'],1,1,3,256
DEFB1,3,1,147,680,"['ASTHMA', 'ASTHMA']",2,1,1,265
DEFB4A,3,0,196,1184,['ASTHMA'],1,1,0,386
CXCR2,3,2,388,1167,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS']",6,2,2,1604
SLC26A3,3,2,276,2053,"['DEHYDRATION', 'FAILURE TO THRIVE', 'ASTHMA', 'BILIARY CIRRHOSIS']",4,4,11,405
HP,3,1,690,2522,"['ASTHMA', 'ASTHMA']",2,1,0,1373
VIP,3,1,636,2561,"['DEHYDRATION', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",6,2,5,1356
GSN,3,2,362,1735,['ASTHMA'],1,1,1,1023
DNASE1,3,1,174,1275,['BRONCHIECTASIS'],1,1,0,250
CD8A,3,4,427,2022,"['FREQUENT RESPIRATORY INFECTIONS', 'BRONCHIECTASIS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",8,4,5,1380
SERPINA1,3,0,421,900,"['ENLARGED LIVER', 'EXOCRINE PANCREATIC INSUFFICIENCY', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'ASTHMA', 'ASTHMA', 'ASTHMA']",9,4,78,1016
MUC4,3,0,213,1411,['ASTHMA'],1,1,0,536
AKT1,3,2,2465,8317,"['FAILURE TO THRIVE', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,2,1,16324
MUC5AC,3,0,264,663,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",6,2,0,382
SLURP1,3,2,872,2400,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,4,2101
HFE,3,2,326,1834,"['EXOCRINE PANCREATIC INSUFFICIENCY', 'ENLARGED LIVER', 'DISTAL INTESTINAL OBSTRUCTION SYNDROME', 'DECREASED ANTIBODY LEVEL IN BLOOD', 'DECREASED IMMUNE FUNCTION', 'BILIARY CIRRHOSIS', 'PULMONARY FIBROSIS', 'FREQUENT RESPIRATORY INFECTIONS', 'ELEVATED URINE CALCIUM LEVELS', 'BRONCHIECTASIS', 'ASTHMA', 'RECTAL PROLAPSE', 'INTESTINAL MALABSORPTION', 'MALE INFERTILITY', 'DEHYDRATION', 'COR PULMONALE', 'FAILURE TO THRIVE', 'RECURRENT BRONCHOPULMONARY INFECTIONS', 'MULTIPLE PULMONARY INFECTIONS', 'CHRONIC LUNG DISEASE', 'ELEVATED SWEAT CHLORIDE']",21,21,80,934
MAL,3,4,356,1642,"['ASTHMA', 'ASTHMA', 'MALABSORPTION']",3,2,4,1028
SCT,2,0,718,2606,"['BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'PANCREATIC INSUFFICIENCY']",3,2,3,1337
AQP2,2,1,157,678,"['FAILURE TO THRIVE', 'DEHYDRATION']",2,2,1,411
CTSG,2,0,331,539,"['ASTHMA', 'BRONCHIECTASIS']",2,2,0,919
AHSA1,2,0,835,2021,"['ASTHMA', 'ASTHMA']",2,1,3,4018
TIMP1,2,1,1234,3050,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",6,2,8,2565
ATP12A,2,1,363,832,"['ASTHMA', 'BRONCHIECTASIS']",2,2,0,704
MPO,2,7,1752,5251,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",8,3,6,3856
IL2,2,1,1851,4893,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'HYPOGAMMAGLOBULINEMIA', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",11,4,22,5699
IL4,2,0,885,2367,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",12,3,13,2307
IL5,2,0,703,1208,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",10,2,5,1511
NR3C1,2,0,923,1994,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",6,1,8,2027
PRTN3,2,1,421,1710,"['BILIARY CIRRHOSIS', 'ASTHMA', 'BRONCHIECTASIS']",3,3,1,928
TTR,2,0,1211,3211,['ASTHMA'],1,1,0,3002
PI3,2,0,479,617,"['ASTHMA', 'ASTHMA']",2,1,0,979
C3,2,0,801,1069,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,1,2,2139
BPIFB1,2,1,51,351,['BRONCHIECTASIS'],1,1,0,106
CRP,2,0,1285,2240,"['MALABSORPTION', 'BRONCHIECTASIS', 'ASTHMA', 'ASTHMA']",4,3,0,2125
GUCY2C,2,1,85,270,"['DISTAL INTESTINAL OBSTRUCTION SYNDROME', 'MECONIUM ILEUS']",2,1,0,275
LPO,2,0,455,1947,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'CHRONIC LUNG DISEASE']",5,2,4,770
SLC12A2,2,1,361,1728,['ASTHMA'],1,1,1,795
KCNN4,2,1,311,991,"['ENLARGED LIVER', 'ASTHMA']",2,2,0,660
FAM13A,2,1,107,451,['ASTHMA'],1,1,0,130
DNAH5,2,0,179,700,"['FREQUENT RESPIRATORY INFECTIONS', 'FREQUENT RESPIRATORY INFECTIONS', 'BRONCHIECTASIS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS']",10,3,14,492
SLC26A4,2,0,692,973,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",5,1,1,1631
REN,2,1,1356,3623,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'DEHYDRATION', 'DEHYDRATION', 'DEHYDRATION', 'BILIARY CIRRHOSIS']",7,3,4,5455
EGFR,2,0,2114,5901,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",6,1,8,8749
LY96,2,1,295,603,['ASTHMA'],1,1,0,492
PPARG,2,1,940,2870,"['ENLARGED LIVER', 'DECREASED IMMUNE FUNCTION', 'FAILURE TO THRIVE', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",7,4,4,3352
AQP5,2,1,231,943,"['CHRONIC LUNG DISEASE', 'ASTHMA']",2,2,1,463
ALB,2,4,1935,4691,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",6,2,4,4245
ANXA5,2,1,281,1248,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,1,606
NOD2,2,0,879,890,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,2,3079
HSPA4,2,1,810,3155,['ASTHMA'],1,1,0,2781
ABCC8,2,0,326,1586,"['DEHYDRATION', 'FAILURE TO THRIVE', 'EXOCRINE PANCREATIC INSUFFICIENCY', 'ENLARGED LIVER']",4,4,0,930
F2,2,0,518,1527,"['EXOCRINE PANCREATIC INSUFFICIENCY', 'ENLARGED LIVER', 'ASTHMA']",3,3,0,1545
PRSS1,2,0,128,578,['EXOCRINE PANCREATIC INSUFFICIENCY'],1,1,26,1139
P2RY2,2,0,145,491,['ASTHMA'],1,1,0,288
NOS2,2,0,1015,2071,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",9,2,4,1740
SMAD3,2,1,595,1804,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",5,1,14,2475
NLRP3,2,0,753,1539,"['ENLARGED LIVER', 'DEHYDRATION', 'ASTHMA', 'ASTHMA']",4,3,0,1523
IL6,2,0,2555,5537,"['HEPATOMEGALY', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",11,3,8,5920
VEGFA,2,5,2355,6902,"['CHRONIC LUNG DISEASE', 'CHRONIC LUNG DISEASE', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'HEPATOMEGALY', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",13,4,62,11160
TP53,1,0,2256,9125,"['ENLARGED LIVER', 'ASTHMA']",2,2,0,13913
MAPK1,0,0,2026,5220,"['ASTHMA', 'ASTHMA']",2,1,4,11643
TH,1,0,2021,4946,"['AUTOSOMAL RECESSIVE', 'ASTHMA']",2,2,9,5628
CD4,1,0,1968,5349,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'MALABSORPTION']",9,3,50,7901
FOS,0,0,1878,5237,"['DECREASED IMMUNE FUNCTION', 'FAILURE TO THRIVE', 'ENLARGED LIVER', 'DEHYDRATION', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS']",10,6,7,6901
SOD1,0,0,1666,3633,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,1,4,2740
POMC,0,0,1651,6050,"['FAILURE TO THRIVE', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'HYPERCALCIURIA', 'HYPERCALCIURIA', 'CHRONIC LUNG DISEASE']",9,4,77,5552
MMP9,2,3,1617,4312,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'CHRONIC LUNG DISEASE', 'CHRONIC LUNG DISEASE', 'BILIARY CIRRHOSIS']",15,4,49,7920
AR,2,0,1534,4859,"['MALE INFERTILITY', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,2,2,6807
MAPK8,0,0,1505,4862,"['ASTHMA', 'ASTHMA']",2,1,1,7420
CDKN1A,0,0,1501,4754,"['ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'CHRONIC LUNG DISEASE']",4,3,3,7175
ESR1,2,8,1493,6310,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,3,5257
RELA,0,0,1462,4477,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS']",4,2,2,4183
PTGS2,1,0,1433,3063,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,1,3,4510
BAX,0,0,1429,5082,['ASTHMA'],1,1,1,4905
STAT3,1,0,1406,3551,"['FREQUENT RESPIRATORY INFECTIONS', 'DEHYDRATION', 'FAILURE TO THRIVE', 'MULTIPLE PULMONARY INFECTIONS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS', 'BRONCHIECTASIS']",11,7,8,6562
IL10,2,2,1394,3332,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",9,2,15,3497
WDTC1,0,0,1387,3641,"['ASTHMA', 'ASTHMA']",2,1,1,4636
CYP3A4,1,0,1384,4050,"['BILIARY CIRRHOSIS', 'ASTHMA', 'ASTHMA', 'DEHYDRATION']",4,3,3,3281
CISH,2,1,1381,3190,"['DEHYDRATION', 'DEHYDRATION', 'ASTHMA', 'ASTHMA', 'ASTHMA']",5,2,5,6135
MUC7,2,2,1350,4480,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'DEHYDRATION']",6,2,6,3354
MMP2,1,1,1304,3515,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS', 'BRONCHIECTASIS', 'BILIARY CIRRHOSIS']",7,3,6,7201
PIK3CA,0,0,1278,3440,"['FAILURE TO THRIVE', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,2,5,7389
MAPK3,1,0,1260,2943,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,1,3477
PTS,1,0,1257,3373,"['AUTOSOMAL RECESSIVE', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'MALABSORPTION', 'BRONCHIECTASIS']",7,4,5,2711
GPI,1,1,1248,3895,['BILIARY CIRRHOSIS'],1,1,1,2965
MCOLN1,1,2,1241,4336,"['AUTOSOMAL RECESSIVE', 'ASTHMA', 'DEHYDRATION']",3,3,9,3209
CP,1,0,1228,3013,"['ASTHMA', 'BILIARY CIRRHOSIS']",2,2,2,2480
CASP3,1,0,1190,2776,['ASTHMA'],1,1,0,2194
BCL2,0,0,1181,3830,"['BILIARY CIRRHOSIS', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,2,2,4199
MTOR,1,0,1165,3414,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,1,1,6861
RHO,1,0,1162,3567,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,1,3,4141
EGF,1,0,1154,2957,"['CHRONIC LUNG DISEASE', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,2,2,3544
CCND1,0,0,1108,3551,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,2,4988
PPARA,1,1,1105,2782,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'HEPATOMEGALY']",4,2,3,3246
G6PD,0,0,1078,3331,['MALABSORPTION'],1,1,0,2128
ABCB1,2,1,1064,3142,"['BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS']",2,1,2,3505
HGS,2,1,1062,2150,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,3,3517
ITGAM,1,0,1060,2167,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,4,2658
SST,1,1,1050,3284,"['ASTHMA', 'ASTHMA', 'HEPATOMEGALY']",3,2,3,3479
CD40,0,0,1046,3053,"['DECREASED IMMUNE FUNCTION', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",7,2,5,3652
AHR,0,0,1045,2833,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'HEPATOMEGALY', 'HEPATOMEGALY']",10,2,127,2277
GSR,1,3,1037,2751,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'MALABSORPTION', 'DEHYDRATION']",5,3,5,1620
CD44,0,0,1028,3077,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BILIARY CIRRHOSIS']",5,2,7,3557
TCEAL1,0,0,1025,3628,"['ASTHMA', 'ASTHMA', 'CHRONIC LUNG DISEASE']",3,2,2,5905
GC,1,0,1023,1855,"['ASTHMA', 'ASTHMA']",2,1,0,2427
CCK,2,1,1009,2717,"['BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'PANCREATIC INSUFFICIENCY']",3,2,5,2518
GRK2,0,0,1002,2825,"['ASTHMA', 'ASTHMA', 'ASTHMA']",3,1,9,4430
PPIG,0,0,999,3160,['ASTHMA'],1,1,0,2561
PSMB6,2,1,998,2227,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA']",4,1,3,4127
CTLA4,1,0,993,1030,"['DECREASED IMMUNE FUNCTION', 'BRONCHIECTASIS', 'ENLARGED LIVER', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",10,5,4,3279
CREBBP,0,0,989,2559,"['FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ASTHMA']",3,2,5,3783
SLC17A5,1,0,982,1884,"['AUTOSOMAL RECESSIVE', 'AUTOSOMAL RECESSIVE', 'FAILURE TO THRIVE', 'FAILURE TO THRIVE', 'ENLARGED LIVER', 'ENLARGED LIVER', 'BILIARY CIRRHOSIS', 'ASTHMA', 'ASTHMA']",9,5,5,3180
PPIB,1,0,979,922,['ASTHMA'],1,1,0,8420
SOD2,0,0,979,2325,['ASTHMA'],1,1,0,1907
IFNG,1,0,969,2295,"['ASTHMA', 'ASTHMA', 'ASTHMA', 'ASTHMA', 'BRONCHIECTASIS']",5,2,0,1413
BBS9,1,1,966,2986,"['AUTOSOMAL RECESSIVE', 'ASTHMA']",2,2,0,3102
PGR,0,0,965,3081,['ASTHMA'],1,1,0,3888
APOB,1,0,959,3581,['MALABSORPTION'],1,1,1,2147
CRK,0,0,954,3216,"['ASTHMA', 'ASTHMA']",2,1,6,6754
KIT,0,0,953,2784,"['ASTHMA', 'ENLARGED LIVER', 'ASTHMA', 'ASTHMA']",4,2,0,4681
CYP2E1,2,1,949,2856,"['ASTHMA', 'ASTHMA']",2,1,1,1931
HIF1A,1,0,948,2640,"['BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'BILIARY CIRRHOSIS', 'ASTHMA']",4,2,1,2412
TG,1,0,947,2320,['ASTHMA'],1,1,0,2220
