,bioprocess_count
LIVER REGENERATION,15
CARDIAC DEVELOPMENT,15
LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY,15
ACTIN FILAMENT POLYMERIZATION,15
CELLULAR RESPONSE TO BETA-1 INTERFERON,15
CIRCADIAN PROCESS,15
NEUTROPHIL MIGRATION,15
ANTIBACTERIAL PEPTIDE ACTIVITY,15
MAST CELL MIGRATION,15
CELLULAR RESPONSE TO GAMMA-INTERFERON,15
CELLULAR RESPONSE TO IL-1,15
IL-2 PRODUCTION,15
HATCHING,15
FLIGHT,15
RESPONSE TO IL-1,15
CELL-CELL ADHESION,15
FERTILIZATION,15
TISSUE HOMEOSTASIS,14
IL-22 PRODUCTION,14
IL-23 PRODUCTION,14
CELL POLARIZATION,14
RESPONSE TO GLUCOCORTICOID,14
MACROPHAGE CELL DIFFERENTIATION,14
POSITIVE REGULATION OF T CELL PROLIFERATION,14
POSITIVE REGULATION OF MAP KINASE CASCADE,14
GLUCONEOGENESIS,14
RESPONSE TO INSULIN,14
APOPTOSIS REGULATOR ACTIVITY,14
NITRIC OXIDE MEDIATED SIGNAL TRANSDUCTION,14
FC-EPSILON RECEPTOR SIGNALING PATHWAY,14
REGULATION OF ANGIOGENESIS,14
ANTIMICROBIAL PEPTIDE ACTIVITY,14
FATTY ACID METABOLIC PROCESS,14
GO:0072604,14
LEUKOCYTE ADHESION,14
POSITIVE REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II,14
SENSE OF SIGHT,14
SEED MATURATION,14
ANIMAL ORGAN DEVELOPMENT,13
PROTEIN SUMOLATION,13
POSITIVE REGULATION OF ENDOTHELIAL CELL PROLIFERATION,13
POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION,13
SEV RECEPTOR SIGNALING PATHWAY,13
ERK CASCADE,13
CHEMICAL SYNAPTIC TRANSMISSION,13
AXON CHEMOTAXIS,13
NOCICEPTION,13
REFLEX,13
INNERVATION,13
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION,13
MONOCYTE CHEMOTAXIS,13
B CELL PROLIFERATION,13
MICROGLIAL CELL ACTIVATION,13
ASTROCYTE ACTIVATION,13
GAMMA-INTERFERON-MEDIATED SIGNALING PATHWAY,13
LUTEAL PHASE,13
FATTY ACID ANABOLISM,13
ACTIVATION OF NON-CANONICAL NF-KB SIGNALING,13
CELLULAR MECHANICAL STIMULUS RESPONSE,13
REPRODUCTION,13
GUSTATION,13
ACTION POTENTIAL,13
PEPTIDYL-CYSTEINE S-NITROSYLATION,12
OPSONIZATION,12
REGULATION OF CELL POPULATION PROLIFERATION,12
GO:0072602,12
MUCUS PRODUCTION,12
MUSCLE CONTRACTION,12
TYPE 2 IMMUNE RESPONSE,12
PROGRAMMED CELL DEATH OF T CELLS BY APOPTOSIS,12
OXIDATIVE PHOSPHORYLATION,12
CELLULAR METABOLIC PROCESS,12
CELL AGEING,12
PEPTIDYL-SERINE PHOSPHORYLATION,12
CYTOPLASMIC CALCIUM ION CONCENTRATION ELEVATION,12
METABOLIC BURST,12
CELLULAR SENESCENCE,12
ANATOMICAL STRUCTURE MORPHOGENESIS,12
TRANSDIFFERENTIATION,12
MAST CELL DIFFERENTIATION,12
POSITIVE REGULATION OF IL-10 PRODUCTION,12
FRIZZLED SIGNALING PATHWAY,12
EGF RECEPTOR SIGNALING PATHWAY,12
TYPE I INTERFERON SIGNALING PATHWAY,12
"REGULATION OF CELLULAR TRANSCRIPTION, DNA-DEPENDENT",12
IL-1-MEDIATED SIGNALING PATHWAY,12
REGULATION OF INFLAMMATORY RESPONSE,11
T CELL MIGRATION,11
EOSINOPHIL CHEMOTAXIS,11
RESPONSE TO E2 STIMULUS,11
FIBRINOLYSIS,11
ACTIVATION OF PROTEIN KINASE C ACTIVITY,11
ENDOTHELIAL CELL PROLIFERATION,11
DOWN REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION,11
OXIDATION REDUCTION,11
RESPONSE TO ETHANOL,11
IMMUNE CELL CHEMOTAXIS,11
CELLULAR HOMEOSTASIS,11
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND,11
LOCOMOTION,11
RESPONSE TO IL-2,11
STEROID ANABOLISM,11
MAST CELL PROLIFERATION,11
IMPORT INTO NUCLEUS,11
CHOLESTEROL METABOLIC PROCESS,11
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION,11
6-PHOSPHOFRUCTOKINASE REDUCTION,11
BONE REMODELING,11
CHEMOKINE SECRETION,11
POSITIVE REGULATION OF MAP KINASE ACTIVITY,11
POSITIVE REGULATION OF SMC PROLIFERATION,11
NEGATIVE REGULATION OF AUTOPHAGY,11
LYMPH VESSEL FORMATION,11
BRAIN DEVELOPMENT,11
CHAPERONE ACTIVITY,11
POSITIVE REGULATION OF IFN-BETA PRODUCTION,11
GASTRIC EMPTYING,11
POSITIVE REGULATION OF TYPE I IFN PRODUCTION,11
DEFENCE RESPONSE TO GRAM-POSITIVE BACTERIA,10
GO:0072611,10
TROPISM,10
CELL-MEDIATED IMMUNITY,10
PLATELET DEGRANULATION,10
RESPONSE TO OXIDATIVE STRESS,10
GENERATION OF SPERMATOZOA,10
EAR DEVELOPMENT,10
CELLULAR RESPONSE TO ACTIVE OXYGEN SPECIES,10
COOPERATIVE BEHAVIOR,10
ENDOTHELIAL CELL ACTIVATION,10
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,10
POSITIVE REGULATION OF DNA BINDING TRANSCRIPTION FACTOR ACTIVITY,10
MRNA STABILIZATION,10
POSITIVE REGULATION OF INTERFERON-GAMMA PRODUCTION,10
POSITIVE REGULATION OF IL-1 BETA PRODUCTION,10
EXTRINSIC APOPTOTIC PATHWAY,10
VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,10
NEGATIVE REGULATION OF CANONICAL WNT RECEPTOR SIGNALING PATHWAY,10
MACROPHAGE PROLIFERATION,10
EXPORT FROM NUCLEUS,10
B CELL DEVELOPMENT,10
CELLULAR PROTEIN METABOLIC PROCESS,10
PHOTOSYNTHESIS,10
DOWN REGULATION OF INTERLEUKIN-6 PRODUCTION,10
ENERGY HOMEOSTASIS,10
SKELETAL DEVELOPMENT,10
POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,10
POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN INFLAMMATORY RESPONSE,10
CELL CYCLE CONTROL,10
FIBROBLAST ACTIVATION,10
DIGESTIVE RUMINATION,10
CELLULAR RESPONSE TO DRUG,10
ERYTHROCYTE CELL DIFFERENTIATION,10
ANIMAL ORGAN MATURATION,10
ACUTE-PHASE RESPONSE,9
ENTRY OF VIRUS INTO HOST CELL,9
CELLULAR RESPONSE TO ENDOPLASMIC RETICULUM STRESS,9
MEMBRANE TRANSPORT,9
TOLERANCE INDUCTION,9
DNA HYPOMETHYLATION,9
ESTABLISHMENT OF T CELL POLARITY,9
MITOCHONDRIAL TRANSPORT,9
TLR4 SIGNALING PATHWAY,9
CELL CYCLE PHASE TRANSITION,9
APOPTOSIS IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS,9
LIPID HOMEOSTASIS,9
RESPONSE TO TOXIC SUBSTANCE,9
KILLER ACTIVITY,9
CARBOHYDRATE METABOLIC PROCESS,9
RESPONSE TO PEPTIDE HORMONE,9
POSITIVE REGULATION OF CIT,9
JAK-STAT SIGNAL TRANSDUCTION,9
RESPONSE TO BACTERIA,9
POSITIVE REGULATION OF GTPASE ACTIVITY,9
LYMPHOCYTE PROLIFERATION,9
POSITIVE REGULATION OF CLMF PRODUCTION,9
REGULATION OF INSULIN SECRETION,9
APOPTOSIS OF NEURONAL CELLS,9
PLACENTA DEVELOPMENT,9
GO:0072616,9
MONOCYTE CELL DIFFERENTIATION,9
CALCIUM ION IMPORT,9
VASCULAR MORPHOGENESIS,9
FOLLICULAR PHASE,9
LUMEN FORMATION IN AN ANATOMICAL STRUCTURE,9
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION,9
DEFECATION BEHAVIOR,9
ESTABLISHMENT OF INTEGRATED PROVIRAL LATENCY,9
BLOOD PRESSURE HOMEOSTASIS,9
STEM CELL DIFFERENTIATION,9
NEURON CHEMOTAXIS,9
HABITUATION,9
MITOTIC CELL CYCLE SPINDLE ORIENTATION CHECKPOINT,9
OOCYTE DEVELOPMENT,9
GO:0072607,8
T CELL HOMEOSTASIS,8
IL-17A PRODUCTION,8
BLOOD CLOTTING,8
AMINO ACID TRANSPORT,8
TGF-BETA RECEPTOR SIGNALING PATHWAY,8
PROTEIN UBIQUITINATION,8
AXON REGENERATION,8
AUTOPHAGIC CELL DEATH,8
LEUKOTRIENE METABOLIC PROCESS,8
CELLULAR RESPONSE TO CADMIUM,8
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY,8
POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS,8
GO:0072610,8
MACROPHAGE CHEMOTAXIS,8
GO:0072615,8
INTEGRIN ACTIVATION,8
POSITIVE REGULATION OF B CELL PROLIFERATION,8
DEPENDENCE RECEPTOR SIGNALING PATHWAY,8
POSITIVE REGULATION OF NITRIC OXIDE ANABOLISM,8
POSITIVE REGULATION OF OSTEOCLAST DIFFERENTIATION,8
DENDRITIC CELL DIFFERENTIATION,8
NEURON DIFFERENTIATION,8
LIPID OXIDATION,8
POSITIVE REGULATION OF GLUCOSE IMPORT,8
PROTEIN SORTING ALONG SECRETORY PATHWAY,8
RESPONSE TO IL-4,8
CHEWING,8
HEMOSTASIS,8
BONE GROWTH,8
GO:0072606,8
CARTILAGE BIOGENESIS,8
ASYMMETRIC PROTEIN LOCALISATION,8
LUNG DEVELOPMENT,8
VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,8
EXOSOMAL SECRETION,8
CELLULAR RESPONSE TO INSULIN STIMULUS,8
PROTEIN AMINO ACID AUTOPHOSPHORYLATION,8
GM-CSF PRODUCTION,8
RNA BREAKDOWN,8
DENDRITIC CELL CHEMOTAXIS,8
RELEASE OF CYTOCHROME C FROM MITOCHONDRIA,8
RESPONSE TO ISCHEMIA,8
LIPID RETENTION,8
APOPTOTIC SIGNALING PATHWAY,8
CHROMATIN SILENCING,8
MISMATCH REPAIR,8
MALE GONAD DEVELOPMENT,8
TRANSCRIPTION INITIATION FROM POL II PROMOTER,8
PROTEIN AMINO ACID DEPHOSPHORYLATION,8
ANGIOTENSIN MATURATION,7
ION TRANSPORT,7
CELLULAR MEMBRANE ORGANISATION,7
RESPONSE TO IL-3,7
CCL17 PRODUCTION,7
N SIGNALING PATHWAY,7
GRANULOMA FORMATION,7
DEFENCE RESPONSE TO GRAM-NEGATIVE BACTERIA,7
REGULATION OF COMPLEMENT ACTIVATION,7
DOWN REGULATION OF NEURON CELL DEATH,7
ACTIVATION OF MAP KINASE KINASE ACTIVITY,7
AUTOPHAGY OF MITOCHONDRION,7
FGF RECEPTOR SIGNALING PATHWAY,7
FC GAMMA RECEPTOR-DEPENDENT PHAGOCYTOSIS,7
POSITIVE REGULATION OF PROTEIN IMPORT INTO CELL NUCLEUS,7
DECIDUAL CELL REACTION,7
POSITIVE REGULATION OF CALCIUM ION (CA2+) MOBILIZATION,7
RESPONSE TO FOOD,7
RESPONSE TO COCAINE,7
EATING BEHAVIOR,7
BLOOD PLATELET AGGREGATION,7
CEREBROSPINAL FLUID SECRETION,7
DOWN REGULATION OF NEURON APOPTOSIS,7
POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE BIOSYNTHETIC PROCESS,7
DEVELOPMENTAL GROWTH INVOLVED IN MORPHOGENESIS,7
POSITIVE REGULATION OF TNF ALPHA BIOSYNTHESIS,7
POSITIVE REGULATION OF CYTOKINE SECRETION,7
AGGRESSION,7
HISTAMINE ANABOLISM,7
CHOLESTEROL ESTERIFICATION,7
ACTIVATION OF ADENYLATE CYCLASE ACTIVITY,7
REGULATION OF CELL DIFFERENTIATION,7
GLUCOCORTICOID SECRETION,7
THYMIC STROMAL LYMPHOPOIETIN PRODUCTION,7
CACHECTIN SECRETION,7
PORE BIOSYNTHESIS,7
EOSINOPHIL CELL DEVELOPMENT,7
SPORULATION,7
NEGATIVE REGULATION OF DEPENDENCE RECEPTOR SIGNALING PATHWAY,7
C-JUN N-TERMINAL KINASE CASCADE,7
MAST CELL CHEMOTAXIS,7
MEMBRANE DEPOLARIZATION,7
RESPONSE TO TNF,7
POSITIVE REGULATION OF CHEMOKINE PRODUCTION,7
DOWN REGULATION OF CASPASE ACTIVITY,7
POSITIVE REGULATION OF NEURON APOPTOTIC PROCESS,7
OOCYTE MATURATION,7
PROTEIN MODIFICATION,7
ACTIVATION OF PROTEIN KINASE B ACTIVITY,7
NITRIC OXIDE ANABOLISM,7
EPITHELIAL CELL PROLIFERATION,7
IL-33 PRODUCTION,7
IL-6-MEDIATED SIGNALING PATHWAY,7
DEVELOPMENTAL PROCESS,7
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA,7
MRNA MATURATION,7
RIBOSOME BIOGENESIS,7
CELL CYCLE CHECKPOINT,7
INTRASTRAND CROSS-LINK REPAIR,7
POSITIVE REGULATION OF FIBROBLAST PROLIFERATION,7
ATP ANABOLISM,7
DOWN REGULATION OF INTERFERON-GAMMA PRODUCTION,7
TOLL/IL-1 RECEPTOR (TIR) DOMAIN-CONTAINING ADAPTOR-DEPENDENT TLR SIGNALING PATHWAY,7
GROWTH HORMONE RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,7
INOSITOL PHOSPHOLIPID-MEDIATED SIGNALING,7
DOWN REGULATION OF T CELL PROLIFERATION,7
CELL NUCLEUS LOCALIZATION,7
DARK ADAPTATION,7
CELLULAR CALCIUM ION HOMEOSTASIS,7
DEDIFFERENTIATION,7
COLLAGEN BREAKDOWN,7
HIBERNATION,7
METAPHASE,7
METHIONINE AND THREONINE METABOLIC PROCESS,7
ACIDIFICATION,7
DELAYED HYPERSENSITIVITY RESPONSE,6
PLASMACYTOID DENDRITIC CELL ACTIVATION,6
POSITIVE REGULATION OF IL-2 PRODUCTION,6
POSITIVE REGULATION OF LIPID ANABOLISM,6
REPLICATIVE SENESCENCE,6
RESPONSE TO GLUCOSE,6
DOWN REGULATION OF CELL GROWTH,6
RESPONSE TO HYDROGEN PEROXIDE,6
POSITIVE REGULATION OF MAJOR HISTOCOMPATIBILITY COMPLEX CLASS II BIOSYNTHESIS,6
REGULATION OF CELLULAR RESPONSE TO HEAT,6
DOWN REGULATION OF PROTEIN KINASE ACTIVITY,6
POSITIVE REGULATION OF JNK CASCADE,6
RESPONSE TO ABIOTIC STRESS,6
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY,6
PEPTIDYL-THREONINE PHOSPHORYLATION,6
CELLULAR RESPONSE TO AMINO ACID STARVATION,6
THYMUS DEVELOPMENT,6
REGULATION OF DNA BINDING TRANSCRIPTION FACTOR ACTIVITY,6
DOWN REGULATION OF PROTEIN AMINO ACID PHOSPHORYLATION,6
CHEMI-MECHANICAL COUPLING,6
POSITIVE REGULATION OF AUTOPHAGY,6
SMOOTH MUSCLE CELL MIGRATION,6
POSITIVE REGULATION OF RECEPTOR MEDIATED ENDOCYTOSIS,6
COLONY STIMULATING FACTOR 3 (GRANULOCYTE) PRODUCTION,6
REGULATION OF CELL SHAPE,6
LYMPHOCYTE CHEMOTAXIS,6
GO:0070970,6
POSITIVE REGULATION OF CTLA-8 PRODUCTION,6
REGULATION OF REGULATORY T CELL DEVELOPMENT,6
POSITIVE REGULATION OF CLASS SWITCH RECOMBINATION TO IGG ISOTYPES,6
CELLULAR RESPIRATION,6
REGULATION OF GROWTH,6
POSITIVE REGULATION OF CHEMOKINE ANABOLISM,6
POSITIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALISATION IN PLASMA MEMBRANE,6
GLUTATHIONE ANABOLISM,6
RAS MEDIATED SIGNAL TRANSDUCTION,6
CELLULAR RESPONSE TO LIPOTEICHOIC ACID,6
MAST CELL HOMEOSTASIS,6
REGULATION OF CELL GROWTH,6
SMOOTH MUSCLE CONTRACTION,6
GERMINAL CENTER FORMATION,6
CARDIAC MUSCLE CONTRACTION,6
INSTRUMENTAL CONDITIONING,6
RNA PROCESSING,6
DIHYDROGEN SYNTHESIS,6
IL-1 BETA PRODUCTION,6
IL-1 PRODUCTION,6
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION RESULTING IN INDUCTION OF APOPTOSIS",6
REGULATION OF LOCALISATION,6
LYMPHOCYTE ACTIVATION,6
ACTIVATION OF THE INHIBITOR OF KAPPA KINASE,6
EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,6
POSITIVE REGULATION OF CELL ADHESION,6
POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION,6
REGULATION OF CELL LOCOMOTION,6
INSULIN RECEPTOR SIGNALING PATHWAY,6
PHOSPHORYLATION,6
REGULATION OF CELL MIGRATION,6
DOWN REGULATION OF PROTEIN BINDING,6
REGULATION OF NATURAL KILLER CELL ACTIVATION,6
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,6
IN UTERO EMBRYONIC DEVELOPMENT,6
MAMMARY GLAND ALVEOLUS DEVELOPMENT,6
LIVER DEVELOPMENT,6
HAEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION,6
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR RESULTING IN CELL CYCLE ARREST",6
RESPONSE TO GAMMA RADIATION,6
CELLULAR RESPONSE TO ULTRAVIOLET LIGHT STIMULUS,6
BODY GROWTH,6
POSITIVE REGULATION OF PHOSPHORYLATION,6
POSITIVE REGULATION OF CANONICAL WNT RECEPTOR SIGNALING PATHWAY,6
POSITIVE REGULATION OF INTERFERON-ALPHA PRODUCTION,6
ERYTHROCYTE AGGREGATION,6
PHOSPHATIDYLINOSITOL PHOSPHORYLATION,6
ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE,6
STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY,6
BLASTOCYST IMPLANTATION,6
PHOTOPERIODISM,6
CLASS I TRANSPOSITION,6
POLLINATION,6
OOGENESIS,6
DETECTION OF VIRUS,6
PROSTAGLANDIN ANABOLISM,6
APOPTOTIC CELL CLEARANCE,6
BASOPHIL ACTIVATION,6
ORNITHINE CYCLE,6
PEPTIDE ANABOLISM,6
IMMUNE SYSTEM PROCESS,6
PYROPTOSIS,6
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY",5
POSITIVE REGULATION OF SUPEROXIDE ANION GENERATION,5
REGULATION OF CYTOKINE PRODUCTION,5
BLOOD PRESSURE REGULATION BY RENIN-ANGIOTENSIN,5
