gene,direct_disease_assoc,two_step_assoc_to_disease,disease_symptoms_gene_is_associated_with,symptoms_associated_count,gene_connections_count,final_symptom_score,relevance_score
TNF,5,4062,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'cor pulmonale', 'bronchiectasis', 'bronchiectasis', 'male infertility']",18,19388,4.216842099729429,0.06719808159598217
SPINK1,3,70,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,261,3.144854510165755,0.06689576791545197
PTH,3,1482,"['hypercalciuria', 'hypercalciuria', 'hypercalciuria', 'hypercalciuria', 'hypercalciuria', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency']",11,4624,4.589206998943657,0.06305548499898467
CCK,2,879,"['biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",4,2516,4.767068721473381,0.054878354569012
SBDS,2,657,"['failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency', 'asthma']",5,2254,4.968391099823743,0.05076464707069583
ABCB4,1,191,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",8,568,6.488856845230502,0.050441423987175125
SCNN1A,4,110,"['bronchiectasis', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'bronchiectasis']",5,323,1.911521740889665,0.04889583737536964
CAT,3,3247,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'dehydration', 'exocrine pancreatic insufficiency']",12,8451,2.6933006458746727,0.04848706228111322
PRSS58,2,3,['exocrine pancreatic insufficiency'],1,45,1.5724272550828775,0.048463720341640024
LEP,4,1468,"['multiple pulmonary infections', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'chronic lung disease']",15,5731,3.2043376870606544,0.043534620278387205
SLC4A2,1,100,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",5,206,4.055535528269064,0.04136351729181892
FEV,2,283,"['bronchiectasis', 'bronchiectasis', 'asthma', 'asthma', 'cor pulmonale', 'exocrine pancreatic insufficiency']",6,467,2.684048614751134,0.04045363885114493
SCT,2,569,"['biliary cirrhosis', 'biliary cirrhosis', 'exocrine pancreatic insufficiency']",3,1330,3.194641466390503,0.03901784229806893
ABCC8,2,252,"['dehydration', 'failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",4,926,3.6075117615608825,0.03730501684345139
MTHFR,1,204,"['exocrine pancreatic insufficiency', 'elevated urine calcium levels', 'asthma', 'rectal prolapse', 'elevated sweat chloride', 'failure to thrive', 'dehydration', 'male infertility', 'cor pulmonale', 'recurrent bronchopulmonary infections', 'multiple pulmonary infections', 'chronic lung disease', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility']",18,1477,7.487315735498198,0.03719815747215431
KCNJ11,2,210,"['dehydration', 'failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",4,833,3.6075117615608825,0.0371515753464136
CA2,4,2670,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'dehydration', 'dehydration', 'exocrine pancreatic insufficiency', 'hypercalciuria', 'male infertility']",11,16711,2.987816423267401,0.03524166583923166
CD79A,2,615,"['failure to thrive', 'dehydration', 'bronchiectasis', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",11,2421,3.5233477399366455,0.03331824219477654
CCL5,1,733,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",14,2292,3.8267298938402106,0.032729307047834194
SLC26A3,3,191,"['failure to thrive', 'dehydration', 'asthma', 'biliary cirrhosis', 'male infertility', 'male infertility']",6,399,1.6276507021659776,0.031523933592822365
SERPINA1,3,243,"['exocrine pancreatic insufficiency', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'asthma', 'asthma', 'asthma']",8,983,2.350689336733822,0.030942154925004444
CELA1,1,14,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,129,3.144854510165755,0.030493820183516134
DNAJC21,1,8,"['failure to thrive', 'exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",3,168,3.33773369761837,0.02774972336051297
ALB,2,1626,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'male infertility']",8,4260,2.0611930459173746,0.027618690256858522
CCL2,3,1188,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis']",10,3780,2.0880553882875916,0.027144640762132244
ABCC2,1,443,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",4,1197,3.244428422615251,0.027014934298293734
VEGFA,2,2071,"['chronic lung disease', 'chronic lung disease', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'biliary cirrhosis', 'biliary cirrhosis']",13,11159,2.6630623161432423,0.02682544232909591
SCNN1G,5,58,"['bronchiectasis', 'failure to thrive', 'dehydration', 'bronchiectasis']",4,227,0.7644430715368563,0.026218406828984554
S100A12,2,450,"['biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,1481,2.5582248021041774,0.026208482735638125
SLPI,5,637,"['asthma', 'asthma', 'asthma', 'chronic lung disease', 'biliary cirrhosis', 'bronchiectasis']",6,1630,1.3502798715213544,0.025724383715503868
CEL,1,372,"['exocrine pancreatic insufficiency', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,1167,3.319544951533242,0.025143022828181174
PNLIP,1,308,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,886,3.144854510165755,0.024508157254164567
ABCG2,1,471,"['biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",4,1820,3.244428422615251,0.0227916014413644
IL1B,4,652,"['biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",9,1835,1.3696110455821473,0.021521606879756027
TLR4,4,1374,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",11,4498,1.4860713398271388,0.02145715990350223
PRSS1,2,57,"['exocrine pancreatic insufficiency', 'exocrine pancreatic insufficiency']",2,1185,3.144854510165755,0.02129593774655616
CRP,2,760,"['exocrine pancreatic insufficiency', 'bronchiectasis', 'asthma', 'asthma', 'asthma']",5,2133,1.898010606521229,0.021285426702918452
NOS2,2,557,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis']",9,1783,2.0298252411650957,0.020946942141675487
NFKB1,1,405,"['bronchiectasis', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",7,1336,2.7589046683997895,0.020488904434354232
MMP9,2,1406,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis', 'chronic lung disease', 'chronic lung disease', 'biliary cirrhosis']",15,7920,2.2150359888272475,0.019560159861666735
ATP12A,2,183,"['asthma', 'exocrine pancreatic insufficiency', 'bronchiectasis']",3,686,1.7815503122762375,0.01912746842788922
CXCL10,1,394,"['asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'biliary cirrhosis', 'biliary cirrhosis']",7,1504,2.6662419054514213,0.018335792223031434
PPY,2,317,['exocrine pancreatic insufficiency'],1,825,1.5724272550828775,0.018308003293803693
CPA1,1,14,['exocrine pancreatic insufficiency'],1,92,1.5724272550828775,0.01771378662800598
FAS,4,1570,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'male infertility', 'male infertility']",6,5679,1.2814537450158412,0.01770288139533403
MPO,2,1532,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",8,3861,1.3113808984596516,0.017350047679207316
GUCY2C,2,36,['meconium ileus'],1,270,1.25,0.016582828578377323
ABCB1,2,829,"['biliary cirrhosis', 'biliary cirrhosis', 'male infertility']",3,3618,1.7700423103048961,0.016035778247862634
IL2,2,1527,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",10,5694,1.427841192704643,0.015576458052027899
CTLA4,1,823,"['bronchiectasis', 'biliary cirrhosis', 'biliary cirrhosis', 'asthma', 'asthma', 'asthma', 'asthma']",7,3292,2.006027709868473,0.015405329642459857
CD8A,3,273,"['bronchiectasis', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",7,1371,1.345813514285524,0.01515622902363602
STAT3,1,1131,"['failure to thrive', 'dehydration', 'multiple pulmonary infections', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",10,6528,2.08541863820957,0.014648641933274035
IL4,2,591,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",12,2264,1.5443014869496345,0.014459714577718816
RHO,1,1007,"['asthma', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,4133,1.8053478435728605,0.01444370403596009
DNAI1,2,54,"['bronchiectasis', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'bronchiectasis', 'bronchiectasis', 'asthma']",9,329,1.1604514204466667,0.01435557418781488
SST,1,979,"['asthma', 'asthma', 'exocrine pancreatic insufficiency']",3,3486,1.688887549327869,0.014352201281291221
REN,1,1188,"['asthma', 'asthma', 'asthma', 'dehydration', 'dehydration', 'dehydration', 'biliary cirrhosis']",7,5455,1.795131738848839,0.014296000677367336
CLCA1,5,42,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma']",6,129,0.34938088273497453,0.014165417152430967
CTRC,1,17,['exocrine pancreatic insufficiency'],1,150,1.5724272550828775,0.014029264166970791
HR,1,799,"['exocrine pancreatic insufficiency', 'asthma', 'asthma']",3,2759,1.688887549327869,0.013773233551806159
F2,2,315,"['exocrine pancreatic insufficiency', 'asthma']",2,1570,1.6306574022053733,0.01374829870198979
NEUROD1,1,630,"['exocrine pancreatic insufficiency', 'asthma', 'asthma', 'asthma', 'asthma']",5,2252,1.8053478435728605,0.013706705291933971
CLPS,1,170,"['exocrine pancreatic insufficiency', 'asthma']",2,418,1.6306574022053733,0.013695791960685868
ELANE,7,611,"['asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis']",6,1809,0.62736917158008,0.01347667091112324
AR,2,1288,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma']",12,6849,1.505143332342923,0.013239753801999113
DNAH5,2,73,"['asthma', 'bronchiectasis', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis']",11,440,1.1873137628168833,0.013147790265065297
LCN1,1,353,"['asthma', 'exocrine pancreatic insufficiency']",2,983,1.6306574022053733,0.012806171635535936
CAMP,7,2400,"['male infertility', 'male infertility', 'asthma', 'asthma', 'asthma', 'asthma', 'dehydration']",7,10392,0.7983548504270372,0.012796270851375831
FOS,0,1626,"['failure to thrive', 'dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",8,6908,1.5649150926614193,0.012430309624630289
IFNA1,2,1672,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",8,7482,1.218718135511283,0.012335012632087083
JAG1,1,344,"['failure to thrive', 'exocrine pancreatic insufficiency', 'asthma', 'asthma', 'asthma', 'asthma']",6,1628,1.9982270310254753,0.012094488899855541
REST,1,336,"['exocrine pancreatic insufficiency', 'bronchiectasis', 'asthma']",3,1292,1.7815503122762375,0.01189808283043283
ATP4A,1,95,"['asthma', 'asthma', 'exocrine pancreatic insufficiency', 'bronchiectasis']",4,525,1.8397804593987332,0.011383728959195984
IGHE,1,888,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'chronic lung disease']",8,3111,1.3740774028179774,0.011353106491850855
CYP3A4,1,1102,"['biliary cirrhosis', 'asthma', 'asthma', 'dehydration']",4,3373,1.1973454638413172,0.011211084545499036
NUP62,1,289,"['failure to thrive', 'failure to thrive', 'biliary cirrhosis', 'biliary cirrhosis']",4,1585,2.0079725862128552,0.011181724220587714
HMGB1,2,462,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'chronic lung disease']",5,1756,1.1993869614504902,0.01112458152487621
SLC17A5,1,929,"['failure to thrive', 'failure to thrive', 'biliary cirrhosis', 'asthma', 'asthma']",5,3178,1.313325774804034,0.011099603408929718
CD4,1,1663,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",9,7918,1.2769482826337788,0.011072794514681196
GSTM1,1,286,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'biliary cirrhosis']",12,1292,1.8100305315003657,0.011065815289600853
HLA-E,1,455,"['asthma', 'exocrine pancreatic insufficiency']",2,1814,1.6306574022053733,0.011017102141418083
CBL,1,286,"['asthma', 'exocrine pancreatic insufficiency', 'male infertility', 'male infertility']",4,1506,1.9263136001999146,0.010929840993411474
LYZ,1,814,"['biliary cirrhosis', 'dehydration']",2,1793,1.0808851695963257,0.010867858852040242
MTOR,1,968,"['asthma', 'asthma', 'asthma', 'asthma', 'exocrine pancreatic insufficiency']",5,6872,1.8053478435728605,0.010854280766246567
PRTN3,2,301,"['biliary cirrhosis', 'asthma', 'bronchiectasis']",3,928,1.0202301628471726,0.010753630254846136
GCG,1,265,"['exocrine pancreatic insufficiency', 'asthma']",2,1034,1.6306574022053733,0.010669410285908815
POMC,0,1464,"['failure to thrive', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'hypercalciuria', 'hypercalciuria', 'chronic lung disease', 'male infertility']",10,5544,1.3333974729658211,0.010571888524960774
ACE,1,666,"['asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis', 'male infertility', 'male infertility', 'bronchiectasis']",8,2773,1.4905768022092014,0.010540160733726794
NOS3,1,537,"['asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'biliary cirrhosis']",7,1684,1.339683892138337,0.010399702133284023
SQSTM1,1,456,"['biliary cirrhosis', 'biliary cirrhosis']",2,2109,1.6222142113076254,0.010177088448327615
SPINK5,2,441,"['asthma', 'failure to thrive', 'dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",10,1439,1.0211611913234624,0.010144602785162821
CXCR1,4,167,"['asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'chronic lung disease']",5,880,0.6318355288159102,0.009633930872210065
MUC5B,5,160,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,595,0.442043645683343,0.009478929215420298
KHDRBS1,1,328,"['biliary cirrhosis', 'biliary cirrhosis', 'asthma']",3,1799,1.6804443584301212,0.009362309942599132
VIP,3,482,"['dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility']",7,1360,0.7087568985522624,0.0092449508184123
CP,1,1083,"['asthma', 'biliary cirrhosis']",2,2489,0.8693372527763085,0.009162528202628906
CYP1A1,2,650,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma']",7,2304,0.9451987411061197,0.00901543303991873
ADCY10,1,239,"['elevated urine calcium levels', 'biliary cirrhosis', 'male infertility']",3,701,1.2029102228882167,0.008958495090958675
CXCL8,4,1114,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis']",7,2983,0.5929365557542072,0.0087923686624797
CAPS,1,303,"['asthma', 'asthma', 'bronchiectasis', 'cor pulmonale']",4,583,0.9607284495973922,0.008755058743609148
MMP2,1,1111,"['asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'biliary cirrhosis']",7,7219,1.345813514285524,0.008719722517430969
DNAAF3,1,105,"['bronchiectasis', 'bronchiectasis', 'asthma', 'male infertility', 'male infertility', 'bronchiectasis', 'bronchiectasis', 'asthma']",8,283,1.0156881325229898,0.008573144164450187
ADA,1,654,"['failure to thrive', 'failure to thrive', 'asthma', 'asthma', 'multiple pulmonary infections', 'asthma', 'asthma', 'asthma']",8,2027,1.0465197459949949,0.008394896193050963
PTPRC,1,416,"['dehydration', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",6,1783,1.3138057580863087,0.008383603559847597
DNAH8,1,802,"['asthma', 'asthma', 'biliary cirrhosis']",3,2145,0.9275673998988042,0.008351449645827694
GPI,1,1177,['biliary cirrhosis'],1,2966,0.8111071056538127,0.008339582573939405
ESR1,2,1144,"['asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility']",8,5309,0.9138309363538406,0.008178370304792725
CD40LG,1,229,"['failure to thrive', 'asthma', 'asthma', 'biliary cirrhosis', 'bronchiectasis']",5,922,1.2713394974222834,0.008109674435384061
FOXP3,1,424,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",8,1693,1.218718135511283,0.008047256829889746
FGFR1,1,724,"['failure to thrive', 'failure to thrive', 'biliary cirrhosis', 'asthma', 'bronchiectasis']",5,4852,1.4059885377524024,0.007971496234594358
VIM,2,677,['biliary cirrhosis'],1,2368,0.8111071056538127,0.007724741292938057
MMAA,1,15,"['failure to thrive', 'failure to thrive', 'dehydration', 'dehydration']",4,164,0.9253145027902556,0.007625941893390119
IL6,2,1762,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'male infertility']",10,5945,0.6718994230997325,0.007620007237419199
CALR,1,535,"['asthma', 'bronchiectasis', 'biliary cirrhosis']",3,1813,1.0202301628471726,0.007505205114462016
CD44,1,822,"['asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",5,3554,1.0440276941437958,0.007496902028972328
MUC5AC,3,140,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",6,380,0.442043645683343,0.007475814731358636
BCL2,0,802,"['biliary cirrhosis', 'male infertility', 'male infertility', 'male infertility', 'asthma', 'asthma', 'asthma']",7,4246,1.4292818440131119,0.0071072805649094965
TNFRSF10B,1,630,"['asthma', 'asthma', 'biliary cirrhosis']",3,2138,0.9275673998988042,0.006999701909291676
TP53,1,1946,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility', 'asthma']",7,13975,0.9451987411061197,0.0069624206742433595
S100A9,1,494,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,1786,0.9857975470213,0.0069111075033159745
RELA,0,1136,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,4176,0.9857975470213,0.006872708488374556
GYPA,1,509,"['biliary cirrhosis', 'asthma']",2,1461,0.8693372527763085,0.0068162372175301885
CISH,2,1374,"['dehydration', 'dehydration', 'asthma', 'asthma', 'asthma']",5,6140,0.7142465692525132,0.0066438909101106695
CDKN1A,0,1228,"['asthma', 'asthma', 'biliary cirrhosis', 'chronic lung disease']",4,7189,1.1411568143279944,0.006611574773584886
SLC26A9,4,18,"['asthma', 'bronchiectasis']",2,99,0.20912305719335997,0.006601757073370341
MUC7,2,1288,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'dehydration']",6,3347,0.5609287995549918,0.006580075595244354
CCDC6,1,505,"['biliary cirrhosis', 'asthma']",2,1583,0.8693372527763085,0.006513880926264978
ABCC4,1,199,['biliary cirrhosis'],1,496,0.8111071056538127,0.006433814575922426
GGT1,1,146,"['asthma', 'asthma', 'asthma', 'biliary cirrhosis']",4,591,0.9857975470213,0.006407838561782487
IL5,2,435,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",10,1494,0.6749642341733261,0.006336232298944557
SLC26A8,1,18,"['male infertility', 'male infertility', 'male infertility', 'male infertility']",4,95,0.5913123959890826,0.006229361136153554
CXCR4,2,758,"['bronchiectasis', 'multiple pulmonary infections', 'asthma', 'asthma', 'asthma', 'asthma']",6,3605,0.7534241340381336,0.006177009310264726
CXCR2,3,270,"['asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis', 'bronchiectasis']",6,1611,0.62736917158008,0.0061622754591770836
CCR5,1,478,"['asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'biliary cirrhosis']",6,3216,1.1918557931410665,0.006159357090849733
PSMB6,2,988,"['asthma', 'asthma', 'asthma', 'asthma', 'male infertility', 'male infertility', 'male infertility']",7,4131,0.676404885481795,0.006065107743959361
GTF2E2,1,269,"['recurrent bronchopulmonary infections', 'asthma']",2,1287,1.0204805957718721,0.00589763328480221
IL13,1,510,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",13,1864,0.8496546755408133,0.005895880224214233
VDR,1,359,"['failure to thrive', 'failure to thrive', 'hypercalciuria', 'asthma', 'asthma']",5,930,0.7461936873873545,0.005817508965390845
IL10,2,948,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",9,3507,0.6167340870508302,0.005787926820661663
WLS,1,306,['biliary cirrhosis'],1,942,0.8111071056538127,0.005776805835386628
NANOS2,1,224,"['male infertility', 'male infertility', 'male infertility', 'male infertility', 'male infertility']",5,563,0.7391404949863533,0.005764533547353285
ICAM1,1,554,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis', 'bronchiectasis']",10,1838,0.7676269971216945,0.005629456317732644
HLA-DRB1,1,182,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'biliary cirrhosis']",7,1286,1.1604879883887873,0.005629266865811193
AQP1,1,189,['biliary cirrhosis'],1,636,0.8111071056538127,0.005555682344711026
GYPB,1,256,['biliary cirrhosis'],1,885,0.8111071056538127,0.005425652063433147
RNASE3,1,211,"['asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'asthma', 'bronchiectasis']",11,597,0.7331943812958218,0.005397462821701789
