,bioprocess_count
AXON REGENERATION,8
LIPID HOMEOSTASIS,8
POSITIVE REGULATION OF PROTEIN IMPORT INTO CELL NUCLEUS,8
RESPONSE TO ESTROGEN,8
RESPONSE TO PEPTIDE HORMONE,8
BLOOD PLATELET AGGREGATION,8
POSITIVE REGULATION OF RECEPTOR MEDIATED ENDOCYTOSIS,8
POSITIVE REGULATION OF GTPASE ACTIVITY,8
GO:0072615,8
POSITIVE REGULATION OF CELL GROWTH,8
POSITIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY,8
REGULATION OF GROWTH,8
POSITIVE REGULATION OF TNF ALPHA BIOSYNTHESIS,8
POSITIVE REGULATION OF NEURON CELL DEATH,8
LIPID OXIDATION,8
GLUCOCORTICOID SECRETION,8
POSITIVE REGULATION OF GLUCOSE IMPORT,8
REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,8
THYMIC STROMAL LYMPHOPOIETIN PRODUCTION,8
HATCHING,8
MONOCYTE CELL DIFFERENTIATION,8
LUTEAL PHASE,8
CHEWING,8
HEMOSTASIS,8
NEGATIVE REGULATION OF DEPENDENCE RECEPTOR SIGNALING PATHWAY,8
"DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION RESULTING IN INDUCTION OF APOPTOSIS",8
SKELETAL DEVELOPMENT,8
EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,8
LIVER DEVELOPMENT,8
CALCIUM ION IMPORT,8
CELLULAR RESPONSE TO INSULIN STIMULUS,8
DENDRITIC CELL CHEMOTAXIS,8
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,8
MITOCHONDRIAL FUSION,8
MYD88-DEPENDENT TLR SIGNALING PATHWAY,8
MYD88-INDEPENDENT TLR SIGNALING PATHWAY,8
CELLULAR RESPONSE TO AMYLOID-BETA,8
BLASTOCYST IMPLANTATION,8
DOWN REGULATION OF T CELL PROLIFERATION,8
ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE,8
RECEPTOR MEDIATED ENDOCYTOSIS,8
PROTEIN AMINO ACID DEPHOSPHORYLATION,8
MALE GONAD DEVELOPMENT,8
POSITIVE REGULATION OF NEURON PROJECTION DEVELOPMENT,8
INTEGRIN-MEDIATED SIGNALING PATHWAY,8
CELL-MATRIX ADHESION,8
G1/S TRANSITION OF MITOTIC CELL CYCLE,8
ANGIOTENSIN MATURATION,7
CELLULAR RESPONSE TO ENDOPLASMIC RETICULUM STRESS,7
DNA HYPOMETHYLATION,7
T CELL ANERGY,7
CCL17 PRODUCTION,7
POSITIVE REGULATION OF KINASE ACTIVITY,7
REPLICATIVE SENESCENCE,7
ANOIKIS,7
OXIDATIVE PHOSPHORYLATION,7
RESPONSE TO OXIDATIVE STRESS,7
NEGATIVE REGULATION OF PROTEIN STABILITY,7
SIPS,7
REGULATION OF CELLULAR RESPONSE TO HEAT,7
CELLULAR RESPONSE TO CDF,7
ACTIVATION OF MAP KINASE KINASE ACTIVITY,7
POSITIVE REGULATION OF JNK CASCADE,7
MITOCHONDRIAL DIVISION,7
AUTOPHAGIC CELL DEATH,7
LEUKOTRIENE METABOLIC PROCESS,7
AUTOPHAGY OF MITOCHONDRION,7
ENDOTHELIAL CELL PROLIFERATION,7
FGF RECEPTOR SIGNALING PATHWAY,7
PEPTIDYL-THREONINE PHOSPHORYLATION,7
FC GAMMA RECEPTOR-DEPENDENT PHAGOCYTOSIS,7
CELLULAR RESPONSE TO CADMIUM,7
COOPERATIVE BEHAVIOR,7
TRANSCYTOSIS,7
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY,7
CYTOSKELETAL ORGANIZATION AND BIOGENESIS,7
INTEGRIN ACTIVATION,7
DEVELOPMENTAL GROWTH INVOLVED IN MORPHOGENESIS,7
DEPENDENCE RECEPTOR SIGNALING PATHWAY,7
POSITIVE REGULATION OF CHEMOKINE ANABOLISM,7
POSITIVE REGULATION OF CYTOKINE SECRETION,7
ACTIVATION OF ADENYLATE CYCLASE ACTIVITY,7
CELLULAR RESPONSE TO LIPOTEICHOIC ACID,7
GO:0072616,7
LUNG INDUCTION,7
REGULATION OF CELL GROWTH,7
SMOOTH MUSCLE CONTRACTION,7
CACHECTIN SECRETION,7
CARDIAC MUSCLE CONTRACTION,7
6-PHOSPHOFRUCTOKINASE REDUCTION,7
DOWN REGULATION OF PROTEIN CATABOLIC PROCESS,7
IL-1 BETA PRODUCTION,7
KILLER ACTIVITY,7
RESPONSE TO TNF,7
REGULATION OF LOCALISATION,7
VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION,7
DOWN REGULATION OF CASPASE ACTIVITY,7
POSITIVE REGULATION OF NEURON APOPTOTIC PROCESS,7
LYMPH VESSEL FORMATION,7
IL-33 PRODUCTION,7
MRNA MATURATION,7
CELL CYCLE CHECKPOINT,7
IN UTERO EMBRYONIC DEVELOPMENT,7
RESPONSE TO ISCHEMIA,7
INTRASTRAND CROSS-LINK REPAIR,7
DOUBLE-STRAND BREAK REPAIR,7
RESPONSE TO GAMMA RADIATION,7
VASCULAR MORPHOGENESIS,7
FIBROBLAST ACTIVATION,7
GASTRIC EMPTYING,7
COLLAGEN BREAKDOWN,7
EPH RECEPTOR SIGNALING PATHWAY,7
GROWTH HORMONE RECEPTOR SIGNALING PATHWAY VIA JAK-STAT,7
LIPID RETENTION,7
PHOSPHATIDYLINOSITOL PHOSPHORYLATION,7
CELLULAR CALCIUM ION HOMEOSTASIS,7
POLLINATION,7
POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION,7
DEDIFFERENTIATION,7
CELLULAR IRON ION HOMEOSTASIS,7
SEED MATURATION,7
HEAT SHOCK PROTEIN ACTIVITY,7
"COMPLEMENT ACTIVATION, CLASSICAL PATHWAY",6
RECEPTOR ANABOLISM,6
GO:0072607,6
DELAYED HYPERSENSITIVITY RESPONSE,6
OLIGODENDROCYTE DIFFERENTIATION,6
RESPONSE TO IL-3,6
GRANULOMA FORMATION,6
T CELL HOMEOSTASIS,6
IL-17A PRODUCTION,6
POSITIVE REGULATION OF IL-2 PRODUCTION,6
RESPONSE TO CALCIFEROL,6
DEFENCE RESPONSE TO GRAM-NEGATIVE BACTERIA,6
RESPONSE TO HEAT,6
PROTEIN ADP-RIBOSYLATION,6
POSITIVE REGULATION OF LIPID ANABOLISM,6
INTESTINAL ABSORPTION,6
RESPONSE TO GLUCOSE,6
PROTEIN AMINO ACID DEACETYLATION,6
HISTONE DEACETYLATION,6
DOWN REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY,6
CIRCADIAN REGULATION OF GENE EXPRESSION,6
POSITIVE REGULATION OF CASPASE ACTIVITY,6
POSITIVE REGULATION OF MAJOR HISTOCOMPATIBILITY COMPLEX CLASS II BIOSYNTHESIS,6
DOWN REGULATION OF FAT CELL DIFFERENTIATION,6
CELLULAR RESPONSE TO HYDROGEN PEROXIDE,6
HISTONE H3 DEACETYLATION,6
MULTICELLULAR ORGANISM DEVELOPMENT,6
ACTIVATION OF P38 CASCADE,6
ACTIVATION OF CREB,6
VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY,6
CELLULAR RESPONSE TO AMINO ACID STARVATION,6
RESPONSE TO NICOTINE,6
RESPONSE TO FOOD,6
GO:0072606,6
MICROTUBULE ASSEMBLY,6
SMOOTH MUSCLE CELL MIGRATION,6
POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS,6
NEGATIVE REGULATION OF APOPTOSIS OF ENDOTHELIAL CELLS,6
CHEMI-MECHANICAL COUPLING,6
GO:0072610,6
CEREBROSPINAL FLUID SECRETION,6
RESPONSE TO BACTERIA,6
MACROPHAGE CHEMOTAXIS,6
LYMPHOCYTE CHEMOTAXIS,6
POSITIVE REGULATION OF NITRIC-OXIDE SYNTHASE BIOSYNTHETIC PROCESS,6
POSITIVE REGULATION OF ACTIVATED T CELL PROLIFERATION,6
REGULATION OF REGULATORY T CELL DEVELOPMENT,6
POSITIVE REGULATION OF CLASS SWITCH RECOMBINATION TO IGG ISOTYPES,6
POSITIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALISATION IN PLASMA MEMBRANE,6
AGGRESSION,6
CELL MORPHOGENESIS,6
RAS MEDIATED SIGNAL TRANSDUCTION,6
RESPONSE TO MURAMYL DIPEPTIDE,6
CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR,6
PROTEIN SORTING ALONG SECRETORY PATHWAY,6
COLLAGEN ANABOLISM,6
GERMINAL CENTER FORMATION,6
RESPONSE TO IL-4,6
HELPER T CELL DIFFERENTIATION,6
PORE BIOSYNTHESIS,6
DOWN REGULATION OF OSTEOCLAST DIFFERENTIATION,6
SPORULATION,6
ESTABLISHMENT OF PROTEIN LOCALISATION,6
DOWN REGULATION OF VIRAL GENOME REPLICATION,6
BONE GROWTH,6
POSITIVE REGULATION OF DNA BINDING,6
POSITIVE REGULATION OF CELL DIVISION,6
NEGATIVE REGULATION OF REACTIVE OXYGEN SPECIES METABOLIC PROCESS,6
MAST CELL CHEMOTAXIS,6
LYMPHOCYTE ACTIVATION,6
POSITIVE REGULATION OF HETEROTYPIC CELL-CELL ADHESION,6
POSITIVE REGULATION OF CELL ADHESION,6
POSITIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION,6
POSITIVE REGULATION OF LEUKOCYTE ADHESION TO VASCULAR ENDOTHELIAL CELL,6
EPITHELIAL CELL PROLIFERATION,6
