,disease_to_gene_occurrences,disease_to_gene_pub_counts,disease_to_int_to_gen_occurrences,disease_to_int_to_gene_pubs,disease_symtpoms_gene_related_to,disease_symtpoms_gene_related_to_count,unique_symptoms_count,gene_to_symptoms_pub_counts,gene_edges_out,final_symptom_score,relevance_score
TGFB1,0,0,204,561,"['HEADACHE', 'HEADACHE', 'DECREASED IMMUNE FUNCTION', 'CHRONIC LUNG DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'FEVER', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HEADACHE']",18,7,35,9079,16.678021972956444,0.3420397663061106
MTOR,1,0,129,324,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",5,1,9,7017,7.715167498104595,0.33946444568038686
ICAM1,1,0,133,69,"['HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",4,2,2,1960,3.976354816582357,0.33451648295856873
SIRT1,1,0,84,100,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CHRONIC LUNG DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",7,4,9,3561,6.069108845429007,0.3305810196344265
CAT,0,0,175,259,"['FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE']",15,4,24,8603,17.708857253697953,0.31952980683942045
CFTR,1,0,48,73,"['DECREASED IMMUNE FUNCTION', 'CHRONIC LUNG DISEASE', 'DIABETES MELLITUS', 'FEVER', 'HYPOXIA']",5,5,487,1918,4.785498345543452,0.3171201379202896
CXCR4,0,0,161,233,"['PHARYNGITIS', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE']",10,4,16,3770,12.648488815066033,0.31685808142528404
AKT1,0,0,321,2203,"['ABNORMAL TISSUE MASS', 'ABNORMALITY OF THE CARDIOVASCULAR SYSTEM', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER', 'ACUTE KIDNEY FAILURE']",12,5,50,16400,12.825864987923884,0.30906876800173566
CRP,2,0,85,1,"['ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",5,2,1,2127,2.4333213169614383,0.3016496978522601
CCL2,1,0,212,332,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",5,1,3,3879,4.055535528269064,0.2922846440093593
TNNT2,1,0,13,16,"['ABNORMAL BREATHING', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",4,2,2,663,2.9149422912623897,0.290214273859893
CCL3,1,0,112,72,"['FEVER', 'FEVER', 'FEVER', 'CARDIOVASCULAR DISEASE']",4,2,2,1285,2.8934587658761766,0.28422797143838885
IL10,1,0,188,170,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",5,3,4,3510,3.8971741048956505,0.27999393518462434
MMP9,0,0,160,401,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'COUGHING', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CHRONIC LUNG DISEASE', 'CHRONIC LUNG DISEASE', 'FEVER']",13,5,24,8056,15.63028002082937,0.26617288676289635
CCL5,1,0,169,243,"['CARDIOVASCULAR DISEASE', 'FEVER', 'HYPOXIA']",3,3,3,2432,3.048257825348853,0.25173969742966174
ANG,0,0,102,148,"['ABNORMAL BREATHING', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",12,3,18,2525,13.063431106328423,0.25149321105956113
TP53,0,0,235,596,"['ABNORMAL TISSUE MASS', 'FEVER', 'ABNORMAL BREATHING', 'HEADACHE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'FEVER']",16,7,260,14024,13.119284406491817,0.24970648105035229
FOS,0,0,170,403,"['DECREASED IMMUNE FUNCTION', 'DIABETES MELLITUS', 'MUSCLE ACHE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HEADACHE', 'HEADACHE', 'COUGHING', 'ACUTE KIDNEY FAILURE']",12,7,17,7066,12.443794966206454,0.24058858054706303
LZTFL1,2,0,3,2,['CARDIOVASCULAR DISEASE'],1,1,0,333,0.8111071056538127,0.21886361566975504
CD4,1,0,264,1392,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",3,2,7,7913,3.8971741048956505,0.21868984909829614
CPB2,1,0,18,15,"['HYPOXIA', 'FEVER', 'ACUTE KIDNEY FAILURE']",3,3,2,753,2.23715071969504,0.2129419457385858
MAPK8,0,0,231,1085,"['FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE']",8,4,14,7641,8.371475544285731,0.21215930953239429
TLR3,1,0,122,200,"['HYPOXIA', 'CARDIOVASCULAR DISEASE']",2,2,1,1751,2.354140605274732,0.20354508756958017
CCR5,1,0,131,329,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",6,3,6,3373,3.1274385370355597,0.19951662268340276
LEP,0,0,113,377,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER', 'FEVER', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'CHRONIC LUNG DISEASE', 'RESPIRATORY DISTRESS']",15,6,89,5866,14.190278970048583,0.19894937578809066
CRK,0,0,183,1145,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",7,2,17,6981,9.33738170941222,0.1956791561466185
FCGR3A,1,0,80,91,"['DECREASED IMMUNE FUNCTION', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",3,3,1,1396,2.254901996435293,0.19383078010097546
CAMP,0,0,188,731,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HEADACHE']",10,4,26,10579,10.733585191093841,0.18777386311118854
SIRT4,1,0,10,6,['HYPOXIA'],1,1,1,453,1.543033499620919,0.1837499557107814
TMPRSS2,2,0,8,3,['CARDIOVASCULAR DISEASE'],1,1,0,502,0.8111071056538127,0.18000690483905035
CD40,0,0,166,299,"['DECREASED IMMUNE FUNCTION', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",6,3,10,3782,6.963183206984757,0.17963485416058933
EGFR,0,0,217,430,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",11,3,22,9004,7.873528921478008,0.17257975249720944
TMEM14A,1,0,3,2,['CARDIOVASCULAR DISEASE'],1,1,0,146,0.8111071056538127,0.1655928788753961
IL4,1,0,113,16,"['FEVER', 'HYPOXIA']",2,2,2,2341,2.23715071969504,0.16326274704517557
RELA,0,0,179,355,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",4,1,9,4386,6.172133998483676,0.15957835974437418
IL18,1,0,76,4,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",2,1,1,1134,1.6222142113076254,0.1528534396567221
HIF1A,0,0,87,272,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",7,2,44,2581,9.258200997725513,0.14984809513988143
IL17A,1,0,95,3,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",2,1,1,1323,1.6222142113076254,0.14971228964477667
CXCL8,1,0,127,39,"['HYPOXIA', 'FEVER']",2,2,1,3047,2.23715071969504,0.14859285422800916
PIK3CA,0,0,190,338,"['ABNORMAL TISSUE MASS', 'ABNORMAL BREATHING', 'ABNORMALITY OF THE CARDIOVASCULAR SYSTEM', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",8,5,6,7686,7.1353519637411615,0.14802080354169855
MEFV,1,0,14,4,"['FEVER', 'MUSCLE ACHE', 'ACUTE KIDNEY FAILURE']",3,3,0,703,1.5005222159298266,0.1456284079883035
POMC,0,0,104,93,"['FEVER', 'FEVER', 'FEVER', 'FEVER', 'FEVER', 'HEADACHE', 'HYPOXIA', 'HYPOXIA', 'CHRONIC LUNG DISEASE', 'HYPOXEMIA', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",12,6,30,5609,11.011516775267204,0.14507891349615845
STAT5A,0,0,144,550,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",5,2,5,3516,6.251314710170382,0.1448221438853299
FAS,0,0,137,257,"['HEADACHE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER', 'ACUTE KIDNEY FAILURE']",9,5,15,5882,8.496434471398802,0.14467972301447868
CCL20,1,0,82,63,['HYPOXIA'],1,1,1,1248,1.543033499620919,0.14112833794007784
CD274,1,0,76,20,['HYPOXIA'],1,1,1,1220,1.543033499620919,0.14017448886041048
CSF3,1,0,52,2,"['FEVER', 'HEADACHE']",2,2,0,923,1.4340126555746062,0.13881148975346452
CD44,0,0,129,112,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'FEVER', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",7,3,8,3734,6.866251218557797,0.1380498538559474
BDKRB1,1,0,29,3,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",2,1,1,1057,1.6222142113076254,0.13563654725494204
AHSA1,0,0,147,366,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",5,2,9,4246,6.251314710170382,0.13457025285472246
CISH,0,0,159,185,"['FEVER', 'FEVER', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'DYSPNEA', 'COUGHING']",7,5,12,6348,7.021941129621162,0.13385607167486757
IL2,1,0,212,1094,"['HYPOXIA', 'FEVER']",2,2,1,5767,2.23715071969504,0.13223242024013412
KIT,0,0,128,61,"['ABNORMAL TISSUE MASS', 'ABNORMAL TISSUE MASS', 'COUGH', 'HEADACHE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",8,5,4,4843,7.504358450965183,0.1314397059376217
GORASP1,0,0,114,259,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",5,2,7,3324,6.983241104137488,0.131233360470438
CCR1,1,0,90,54,"['FEVER', 'ACUTE KIDNEY FAILURE', 'CARDIOVASCULAR DISEASE']",3,3,1,1499,1.505224325727934,0.12862524526001448
ATM,0,0,99,117,"['DIABETES MELLITUS', 'DIABETES MELLITUS', 'DECREASED IMMUNE FUNCTION', 'ABNORMAL TISSUE MASS', 'FEVER', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA', 'HYPOXIA']",11,7,247,3707,8.316902474563571,0.1281804370721841
IFNG,1,0,87,12,"['CARDIOVASCULAR DISEASE', 'FEVER']",2,2,1,1508,1.505224325727934,0.127115922537901
MGA,1,0,2,0,['CARDIOVASCULAR DISEASE'],1,1,0,277,0.8111071056538127,0.11974895607146706
HSPA4,0,0,76,141,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'FEVER', 'FEVER']",7,2,16,2978,9.103401938252837,0.11941882380062882
MSC,0,0,104,79,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",5,2,18,2671,6.251314710170383,0.11935326085244366
EGR1,0,0,74,119,"['CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXEMIA', 'ACUTE KIDNEY FAILURE']",7,3,11,2596,8.526274603758408,0.11655721611877558
NCAM1,1,0,75,115,"['FEVER', 'CARDIOVASCULAR DISEASE']",2,2,2,1684,1.505224325727934,0.1160319618589208
IL1B,1,0,86,46,"['CARDIOVASCULAR DISEASE', 'FEVER']",2,2,1,1910,1.505224325727934,0.1126162191916604
CCND1,0,0,99,179,"['FEVER', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",7,3,8,5151,8.409284718178716,0.10994733681594902
CDKN1A,0,0,130,249,"['FEVER', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'CHRONIC LUNG DISEASE']",7,5,11,7400,7.495152459470234,0.10788828238216013
SYT1,0,0,109,256,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",4,1,7,3557,6.172133998483676,0.10712156013577369
TLR4,1,0,204,335,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",4,2,4,4541,1.6222142113076254,0.10619326930823395
GADD45B,1,0,11,4,['CARDIOVASCULAR DISEASE'],1,1,0,385,0.8111071056538127,0.10517276403686195
GABPA,0,0,78,115,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER']",9,3,18,4353,9.37875324720594,0.10451149651060611
PTEN,0,0,111,270,"['ABNORMALITY OF THE CARDIOVASCULAR SYSTEM', 'ABNORMAL TISSUE MASS', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",7,3,20,5807,7.502647268987007,0.10381612434682667
F2RL3,1,0,7,0,['CARDIOVASCULAR DISEASE'],1,1,0,391,0.8111071056538127,0.10277542689586605
NT5C,1,0,6,3,['CARDIOVASCULAR DISEASE'],1,1,0,392,0.8111071056538127,0.10224794222571384
IFI27,0,0,74,95,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'FEVER', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",7,3,6,3375,8.488465429865423,0.10177110502727969
CA2,0,0,138,325,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'FEVER', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",10,4,65,16909,10.031498929486341,0.10149519338837366
STAT1,1,0,110,78,"['DECREASED IMMUNE FUNCTION', 'DIABETES MELLITUS']",2,2,0,1706,1.1875199909688683,0.10068381997326444
TCEAL1,0,0,99,206,"['FEVER', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE', 'CHRONIC LUNG DISEASE']",8,5,10,6080,8.306259565124048,0.09995974533062728
FGL2,1,0,10,8,['CARDIOVASCULAR DISEASE'],1,1,0,429,0.8111071056538127,0.09925457845767226
SGSM3,1,0,59,178,"['FEVER', 'CARDIOVASCULAR DISEASE']",2,2,1,2157,1.505224325727934,0.09750710058931396
CXCL12,0,0,75,19,"['HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE']",5,3,3,1201,4.708281210549464,0.09594303407401417
POLDIP2,0,0,87,361,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE']",5,2,10,3150,6.251314710170382,0.09158718480582081
SGTA,1,0,9,4,['CARDIOVASCULAR DISEASE'],1,1,0,504,0.8111071056538127,0.09122274638049803
SP1,0,0,91,149,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'HYPOXIA']",5,2,7,3521,6.251314710170383,0.09070433742116109
ZC3HAV1,1,0,20,5,['CARDIOVASCULAR DISEASE'],1,1,0,568,0.8111071056538127,0.08955145369403722
ITGAM,0,0,162,121,"['FEVER', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA']",4,4,4,2788,3.048257825348853,0.08935626209039725
HGS,0,0,106,42,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'FEVER']",5,3,26,3759,5.402398430623585,0.08865096857857659
PTPRC,0,0,86,84,"['HYPOXEMIA', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA']",4,2,3,1900,4.708281210549464,0.08777373467808411
AR,0,0,119,62,"['ABNORMAL TISSUE MASS', 'ABNORMAL TISSUE MASS', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'ACUTE KIDNEY FAILURE', 'HYPOXIA', 'HYPOXIA']",8,4,9,7003,6.3998392225289,0.08655906573121673
GRAP2,0,0,97,364,"['HYPOXIA', 'HYPOXIA', 'HYPOXIA', 'CARDIOVASCULAR DISEASE']",4,2,9,3455,5.440207604516569,0.08505791848818642
TTR,1,0,77,32,"['HEADACHE', 'HEADACHE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE', 'ACUTE KIDNEY FAILURE']",5,2,192,3146,1.4797908710009702,0.08396853585861133
IRF7,1,0,75,75,['CARDIOVASCULAR DISEASE'],1,1,0,942,0.8111071056538127,0.08359883113642434
IL2RA,1,0,112,361,"['DECREASED IMMUNE FUNCTION', 'DIABETES MELLITUS', 'ACUTE KIDNEY FAILURE']",3,3,0,2549,1.1875199909688683,0.08282417015886474
RHO,0,0,80,85,"['CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'CARDIOVASCULAR DISEASE', 'HYPOXIA', 'HYPOXIA', 'ACUTE KIDNEY FAILURE']",8,3,24,4318,7.141602527510902,0.08200657181515945
MAPK14,1,0,79,30,['HYPOXIA'],1,1,1,3906,1.543033499620919,0.0790563805447931
